group,time_point,strain,asc_count,sd
Group 1,0M,O1M,0,0
Group 1,1M,O1M,10,5
Group 1,1M+3D,O1M,50,15
Group 1,1M+6D,O1M,60,20
Group 1,0M,Asia1,0,0
Group 1,1M,Asia1,15,4
Group 1,1M+3D,Asia1,40,10
Group 1,1M+6D,Asia1,55,15

Group 2,3M,O1M,5,2
Group 2,3M+3D,O1M,60,20
Group 2,3M+6D,O1M,70,25
Group 2,12M,O1M,25,5
Group 2,12M+3D,O1M,50,15
Group 2,12M+6D,O1M,55,10
Group 2,3M,Asia1,7,3
Group 2,3M+3D,Asia1,45,18
Group 2,3M+6D,Asia1,50,10
Group 2,12M,Asia1,22,5
Group 2,12M+3D,Asia1,40,10
Group 2,12M+6D,Asia1,48,12

Group 3,6M,O1M,8,3
Group 3,6M+3D,O1M,15,5
Group 3,6M+7D,O1M,10,4
Group 3,12M,O1M,35,8
Group 3,12M+3D,O1M,55,12
Group 3,12M+6D,O1M,60,15
Group 3,6M,Asia1,10,3
Group 3,6M+3D,Asia1,17,5
Group 3,6M+7D,Asia1,13,4
Group 3,12M,Asia1,30,7
Group 3,12M+3D,Asia1,52,10
Group 3,12M+6D,Asia1,59,14
