p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.66930876862941	0.305	0.056	0	0	JCHAIN
0	2.44049417295446	0.874	0.374	0	0	ENSBTAG00000056429
0	2.39520212423782	0.558	0.189	0	0	ENSBTAG00000068157
0	2.20900830103506	0.79	0.322	0	0	ENSBTAG00000070065
0	2.15877031291931	0.714	0.28	0	0	ENSBTAG00000057949
0	2.03554171053478	0.418	0.187	0	0	ENSBTAG00000065557
0	1.99018275976569	0.849	0.415	0	0	ENSBTAG00000051730
0	1.44679672624454	0.87	0.738	0	0	ENSBTAG00000057590
0	1.35742299172292	0.999	0.989	0	0	ENSBTAG00000060382
0	1.31347208727405	0.504	0.495	0	0	MYH9
0	1.17576626772482	1	0.997	0	0	ENSBTAG00000066082
0	0.874692637519935	0.45	0.412	0	0	ENSBTAG00000055617
0	0.853116294786492	0.545	0.522	0	0	S100A11
0	0.849846584188235	1	0.999	0	0	ENSBTAG00000052369
0	0.619107217504938	0.165	0.299	0	0	EIF4A1
0	0.576388979802519	0.461	0.427	0	0	CD3E
0	0.566114699983395	0.992	0.984	0	0	ENSBTAG00000043570
0	0.555797623301829	0.158	0.278	0	0	ENSBTAG00000009664
0	0.548356144719069	0.163	0.304	0	0	WAS
0	0.539049384452878	0.143	0.274	0	0	HNRNPAB
0	0.538656921202102	0.166	0.299	0	0	DDX17
0	0.535182784104298	0.708	0.767	0	0	CRIP1
0	0.534678820085388	0.191	0.345	0	0	LCP2
0	0.525306190223017	0.911	0.93	0	0	RPS2
0	0.490022519501153	0.209	0.369	0	0	GIMAP7
0	0.481331634655577	0.167	0.29	0	0	ENSBTAG00000069845
0	0.437204105947895	0.543	0.496	0	0	S100A4
0	0.40802697773597	0.236	0.401	0	0	FYB1
0	0.391649890962497	0.123	0.25	0	0	NSD3
0	0.38009498933466	0.99	0.988	0	0	ENSBTAG00000043567
0	0.361596714114088	0.126	0.261	0	0	CD247
0	0.331794351808714	0.995	0.981	0	0	TPT1
0	0.321291549822262	0.146	0.3	0	0	SP110
0	0.311532099312082	0.141	0.306	0	0	HNRNPA3
0	0.307178270290362	0.298	0.525	0	0	ENSBTAG00000054649
0	0.303547968228139	0.296	0.522	0	0	SF3B1
0	0.289765603476215	0.121	0.25	0	0	DOCK11
0	0.287899082902775	0.238	0.447	0	0	GIMAP4
0	0.280894543404366	0.163	0.345	0	0	HNRNPU
0	0.27542103692768	0.961	0.971	0	0	RPS26
0	0.275182419761496	0.3	0.517	0	0	TAGLN2
0	0.273046574184213	0.111	0.257	0	0	SEPTIN1
0	0.268520402275859	0.154	0.298	0	0	IKZF1
0	0.267871246132928	0.123	0.282	0	0	TRAF3IP3
0	0.263957310107502	0.124	0.272	0	0	TNFSF10
0	0.257806023785531	0.234	0.461	0	0	MSN
4.31158769069818e-280	0.686170106457333	0.174	0.293	9.40874665864157e-276	0	SEPTIN9
1.07924411127229e-251	0.598916414694173	0.154	0.254	2.3551264996184e-247	0	PHGDH
2.2283672673318e-207	0.445397548475205	0.599	0.772	4.86274305077145e-203	0	RPL5
1.43304455238457e-197	0.482854766684752	0.546	0.668	3.1271898222136e-193	0	ENSBTAG00000059335
2.14168926300152e-168	0.775831614428484	0.21	0.329	4.67359430972193e-164	0	ALDOA
1.15276229067538e-143	0.422247998298571	0.227	0.337	2.51555787071182e-139	0	H1-4
3.99484824258607e-120	0.936195733876695	0.349	0.387	8.71755783497132e-116	0	ENSBTAG00000048470
2.85567908335901e-91	0.555145252188334	0.274	0.402	6.23166289570602e-87	0	SKAP1
4.4654066051868e-84	0.321566983399099	0.402	0.61	9.74441029383863e-80	0	SAMHD1
3.77977071949247e-43	0.80437159581456	0.246	0.344	8.24821566407647e-39	0	S100A10
6.69079789685168e-35	0.278277811119891	0.211	0.266	1.46006591705097e-30	0	ENSBTAG00000000144
2.42940827216516e-32	0.291044243077712	0.594	0.807	5.30145473151881e-28	0	ERP27
1.29247469222118e-28	0.49875258643628	0.302	0.324	2.82043827336505e-24	0	ENSBTAG00000047919
1.95902993352358e-24	0.351081334336043	0.541	0.729	4.27499512093515e-20	0	SRGN
8.65372271226505e-21	0.620214213401307	0.364	0.531	1.88841537027048e-16	0	ETS1
1.26525065733e-11	0.645645046992135	0.293	0.389	2.76102998442552e-07	0	AHNAK
0	1.89770214942313	0.939	0.385	0	1	IDO1
0	1.88138318225884	0.345	0.101	0	1	ENSBTAG00000009943
0	1.86542089691663	0.38	0.111	0	1	KLRF1
0	1.71690633005987	0.371	0.123	0	1	NKG2A
0	1.57600483841542	0.644	0.215	0	1	ENSBTAG00000051183
0	1.57192191269768	0.251	0.073	0	1	ENSBTAG00000045854
0	1.55705797858895	0.338	0.108	0	1	CX3CR1
0	1.52536377447659	0.315	0.107	0	1	S1PR5
0	1.52082957643763	0.497	0.178	0	1	KLRI1
0	1.50086687284838	0.64	0.245	0	1	IFI6
0	1.48290324694573	0.276	0.09	0	1	PSTPIP2
0	1.45707683848341	0.268	0.098	0	1	FGR
0	1.44942006710335	0.921	0.374	0	1	FCER1G
0	1.44511360182269	0.368	0.14	0	1	TSPAN4
0	1.43835740800301	0.269	0.089	0	1	CD82
0	1.42998980660857	0.515	0.192	0	1	C5H12orf75
0	1.38220582313877	0.374	0.14	0	1	DTNBP1
0	1.34374885154749	0.278	0.109	0	1	TMED3
0	1.32946283069708	0.964	0.467	0	1	CCL5
0	1.31698797853291	0.275	0.103	0	1	PTPN4
0	1.31604316848045	0.528	0.211	0	1	KLRD1
0	1.31572658634608	0.349	0.135	0	1	NCR1
0	1.29257072310969	0.263	0.095	0	1	FCGR3A
0	1.2922306207534	0.251	0.09	0	1	BANK1
