"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal25","nkp46+",0.221924847473356,13.5996998686926,"S1PR1","chemotaxis"
"Animal25","nkp46-",0.137137811583523,5.00758521621222,"S1PR1","chemotaxis"
"Animal26","nkp46+",0.214003895081667,12.2464658881377,"S1PR1","chemotaxis"
"Animal26","nkp46-",0.447226619504237,26.9860669762894,"S1PR1","chemotaxis"
"Animal27","nkp46+",0.0518663760699347,2.34438156831043,"S1PR1","chemotaxis"
"Animal27","nkp46-",0.218593501195721,9.18381632367353,"S1PR1","chemotaxis"
"Animal28","nkp46+",0.104162488868988,7.51239855725879,"S1PR1","chemotaxis"
"Animal28","nkp46-",0.172521457508983,9.29925741641223,"S1PR1","chemotaxis"
"Animal52","nkp46+",0.0684300260732915,2.61888238987476,"S1PR1","chemotaxis"
"Animal52","nkp46-",0.121874633889567,7.17458148274684,"S1PR1","chemotaxis"
"Animal25","nkp46+",0.0166003323925062,1.07547051835178,"CXCR3","chemotaxis"
"Animal25","nkp46-",0.0410623004055803,1.53449595231383,"CXCR3","chemotaxis"
"Animal26","nkp46+",0.0423593121766461,2.51229256299939,"CXCR3","chemotaxis"
"Animal26","nkp46-",0.0681068224855399,4.75433879247128,"CXCR3","chemotaxis"
"Animal27","nkp46+",0.00834360783013192,0.404203718674212,"CXCR3","chemotaxis"
"Animal27","nkp46-",0.0224573975863745,1.04064585374959,"CXCR3","chemotaxis"
"Animal28","nkp46+",0.00756635088993817,0.563570784490532,"CXCR3","chemotaxis"
"Animal28","nkp46-",0.024594118603287,1.49270609521656,"CXCR3","chemotaxis"
"Animal52","nkp46+",0.00554284573544017,0.216450216450216,"CXCR3","chemotaxis"
"Animal52","nkp46-",0.0162149423809677,1.22992825418517,"CXCR3","chemotaxis"
"Animal25","nkp46+",0.0335581076914616,2.18220471456262,"CXCR4","chemotaxis"
"Animal25","nkp46-",0.0585209095596189,2.14534079772309,"CXCR4","chemotaxis"
"Animal26","nkp46+",0.0832403533189592,4.86324523663184,"CXCR4","chemotaxis"
"Animal26","nkp46-",0.34877597078684,21.4128574920557,"CXCR4","chemotaxis"
"Animal27","nkp46+",0.032812489892453,1.49555375909458,"CXCR4","chemotaxis"
"Animal27","nkp46-",0.311263958495031,12.5157496850063,"CXCR4","chemotaxis"
"Animal28","nkp46+",0.2843013353251,18.9923354373309,"CXCR4","chemotaxis"
"Animal28","nkp46-",0.858907070229525,40.0618191413171,"CXCR4","chemotaxis"
"Animal52","nkp46+",0.0510509792951362,1.98440236608176,"CXCR4","chemotaxis"
"Animal52","nkp46-",0.108857550350422,6.73044072429108,"CXCR4","chemotaxis"
"Animal25","nkp46+",0.570658626432546,32.9269055211655,"S1PR5","chemotaxis"
"Animal25","nkp46-",0.051512458122152,1.9036878918469,"S1PR5","chemotaxis"
"Animal26","nkp46+",0.408912400343585,22.9333128457283,"S1PR5","chemotaxis"
"Animal26","nkp46-",0.0551944609006583,3.62991933512589,"S1PR5","chemotaxis"
"Animal27","nkp46+",0.337556056738538,14.8949070331447,"S1PR5","chemotaxis"
"Animal27","nkp46-",0.0816900810088456,3.49059685472957,"S1PR5","chemotaxis"
"Animal28","nkp46+",0.614532037472598,40.1036970243463,"S1PR5","chemotaxis"
"Animal28","nkp46-",0.0835604108985687,4.69297749632478,"S1PR5","chemotaxis"
"Animal52","nkp46+",0.343721468442377,13.0068404877565,"S1PR5","chemotaxis"
"Animal52","nkp46-",0.357748056686033,21.3529210796037,"S1PR5","chemotaxis"
"Animal25","nkp46+",0.66875003773141,36.8661289314075,"CX3CR1","chemotaxis"
"Animal25","nkp46-",0.0569477431954825,2.08358505511029,"CX3CR1","chemotaxis"
"Animal26","nkp46+",0.529181436185251,27.9463736939152,"CX3CR1","chemotaxis"
"Animal26","nkp46-",0.0590543321579152,3.49547787826937,"CX3CR1","chemotaxis"
"Animal27","nkp46+",0.373014996495134,16.0367825383994,"CX3CR1","chemotaxis"
"Animal27","nkp46-",0.0642541744498416,2.70661253441598,"CX3CR1","chemotaxis"
"Animal28","nkp46+",0.554343407262683,35.8712804328224,"CX3CR1","chemotaxis"
"Animal28","nkp46-",0.0835230524363411,4.49319612499529,"CX3CR1","chemotaxis"
"Animal52","nkp46+",0.37955488224684,14.2890188691715,"CX3CR1","chemotaxis"
"Animal52","nkp46-",0.261771918943999,15.5107618722241,"CX3CR1","chemotaxis"
