"animal","dims","resolution","cluster","cell_count"
"animal25",10,0.25,0,2579
"animal25",10,0.25,1,2414
"animal25",10,0.25,2,992
"animal25",10,0.25,3,642
"animal25",10,0.25,4,637
"animal25",10,0.25,5,573
"animal25",10,0.25,6,454
"animal25",10,0.25,7,148
"animal25",10,0.25,8,78
"animal26",10,0.25,0,889
"animal26",10,0.25,1,791
"animal26",10,0.25,2,621
"animal26",10,0.25,3,597
"animal26",10,0.25,4,544
"animal26",10,0.25,5,396
"animal26",10,0.25,6,383
"animal26",10,0.25,7,14
"animal27",10,0.25,0,2208
"animal27",10,0.25,1,1642
"animal27",10,0.25,2,1285
"animal27",10,0.25,3,337
"animal27",10,0.25,4,158
"animal27",10,0.25,5,152
"animal27",10,0.25,6,76
"animal27",10,0.25,7,29
"animal28",10,0.25,0,5750
"animal28",10,0.25,1,3176
"animal28",10,0.25,2,3065
"animal28",10,0.25,3,1979
"animal28",10,0.25,4,1867
"animal28",10,0.25,5,1584
"animal28",10,0.25,6,1388
"animal28",10,0.25,7,468
"animal25",10,0.5,0,1723
"animal25",10,0.5,1,1613
"animal25",10,0.5,2,1612
"animal25",10,0.5,3,706
"animal25",10,0.5,4,641
"animal25",10,0.5,5,635
"animal25",10,0.5,6,316
"animal25",10,0.5,7,272
"animal25",10,0.5,8,271
"animal25",10,0.5,9,258
"animal25",10,0.5,10,209
"animal25",10,0.5,11,183
"animal25",10,0.5,12,78
"animal26",10,0.5,0,889
"animal26",10,0.5,1,618
"animal26",10,0.5,2,546
"animal26",10,0.5,3,479
"animal26",10,0.5,4,477
"animal26",10,0.5,5,396
"animal26",10,0.5,6,384
"animal26",10,0.5,7,314
"animal26",10,0.5,8,118
"animal26",10,0.5,9,14
"animal27",10,0.5,0,1876
"animal27",10,0.5,1,1504
"animal27",10,0.5,2,784
"animal27",10,0.5,3,519
"animal27",10,0.5,4,432
"animal27",10,0.5,5,403
"animal27",10,0.5,6,152
"animal27",10,0.5,7,109
"animal27",10,0.5,8,79
"animal27",10,0.5,9,29
"animal28",10,0.5,0,3164
"animal28",10,0.5,1,2745
"animal28",10,0.5,2,2447
"animal28",10,0.5,3,2049
"animal28",10,0.5,4,1962
"animal28",10,0.5,5,1838
"animal28",10,0.5,6,1534
"animal28",10,0.5,7,1467
"animal28",10,0.5,8,1251
"animal28",10,0.5,9,820
"animal25",10,0.75,0,1730
"animal25",10,0.75,1,1535
"animal25",10,0.75,2,837
"animal25",10,0.75,3,773
"animal25",10,0.75,4,641
"animal25",10,0.75,5,634
"animal25",10,0.75,6,512
"animal25",10,0.75,7,468
"animal25",10,0.75,8,314
"animal25",10,0.75,9,263
"animal25",10,0.75,10,258
"animal25",10,0.75,11,211
"animal25",10,0.75,12,183
"animal25",10,0.75,13,79
"animal25",10,0.75,14,79
"animal26",10,0.75,0,527
"animal26",10,0.75,1,510
"animal26",10,0.75,2,474
"animal26",10,0.75,3,395
"animal26",10,0.75,4,383
"animal26",10,0.75,5,362
