"method","dims","res","animal1","animal2","cluster1","cluster2","jaccard"
"SCT",10,0.25,"animal25","animal26","animal25_C0","animal26_C0",0.48683440608543
"SCT",10,0.25,"animal25","animal26","animal25_C4","animal26_C6",0.364566929133858
"SCT",10,0.25,"animal25","animal26","animal25_C5","animal26_C2",0.645648312611012
"SCT",10,0.25,"animal25","animal26","animal25_C6","animal26_C4",0.545743834526651
"SCT",10,0.25,"animal25","animal26","animal25_C7","animal26_C7",0.330508474576271
"SCT",10,0.25,"animal25","animal27","animal25_C5","animal27_C6",0.434518647007806
"SCT",10,0.25,"animal25","animal27","animal25_C9","animal27_C7",0.354938271604938
"SCT",10,0.25,"animal25","animal28","animal25_C0","animal28_C0",0.486754966887417
"SCT",10,0.25,"animal25","animal28","animal25_C1","animal28_C6",0.308131241084165
"SCT",10,0.25,"animal25","animal28","animal25_C2","animal28_C9",0.705882352941177
"SCT",10,0.25,"animal25","animal28","animal25_C3","animal28_C4",0.333759590792839
"SCT",10,0.25,"animal25","animal28","animal25_C5","animal28_C5",0.575445173383318
"SCT",10,0.25,"animal25","animal28","animal25_C5","animal28_C7",0.473851030110935
"SCT",10,0.25,"animal25","animal28","animal25_C6","animal28_C3",0.539639984680199
"SCT",10,0.25,"animal25","animal28","animal25_C9","animal28_C10",0.562146892655367
"SCT",10,0.25,"animal26","animal27","animal26_C2","animal27_C6",0.436010591350397
"SCT",10,0.25,"animal26","animal28","animal26_C0","animal28_C0",0.501121076233184
"SCT",10,0.25,"animal26","animal28","animal26_C2","animal28_C5",0.553051643192488
"SCT",10,0.25,"animal26","animal28","animal26_C2","animal28_C7",0.454210526315789
"SCT",10,0.25,"animal26","animal28","animal26_C3","animal28_C1",0.310924369747899
"SCT",10,0.25,"animal26","animal28","animal26_C4","animal28_C3",0.589612289685443
"SCT",10,0.25,"animal26","animal28","animal26_C5","animal28_C6",0.344186046511628
"SCT",10,0.25,"animal27","animal28","animal27_C1","animal28_C0",0.335428571428571
"SCT",10,0.25,"animal27","animal28","animal27_C6","animal28_C5",0.387035271687321
"SCT",10,0.25,"animal27","animal28","animal27_C6","animal28_C7",0.348054679284963
"SCT",10,0.25,"animal27","animal28","animal27_C7","animal28_C10",0.369491525423729
"SCT",10,0.5,"animal25","animal26","animal25_C1","animal26_C0",0.380580705588511
"SCT",10,0.5,"animal25","animal26","animal25_C4","animal26_C5",0.364566929133858
"SCT",10,0.5,"animal25","animal26","animal25_C5","animal26_C6",0.323182711198428
"SCT",10,0.5,"animal25","animal26","animal25_C6","animal26_C3",0.419607843137255
"SCT",10,0.5,"animal25","animal26","animal25_C7","animal26_C2",0.515267175572519
"SCT",10,0.5,"animal25","animal26","animal25_C8","animal26_C4",0.545743834526651
"SCT",10,0.5,"animal25","animal26","animal25_C9","animal26_C2",0.567891972993248
"SCT",10,0.5,"animal25","animal26","animal25_C10","animal26_C8",0.330490405117271
"SCT",10,0.5,"animal25","animal27","animal25_C7","animal27_C7",0.330232558139535
"SCT",10,0.5,"animal25","animal27","animal25_C9","animal27_C7",0.4
"SCT",10,0.5,"animal25","animal27","animal25_C12","animal27_C8",0.354037267080745
"SCT",10,0.5,"animal25","animal27","animal25_C14","animal27_C6",0.343396226415094
"SCT",10,0.5,"animal25","animal28","animal25_C0","animal28_C3",0.394230769230769
"SCT",10,0.5,"animal25","animal28","animal25_C1","animal28_C0",0.611914893617021
"SCT",10,0.5,"animal25","animal28","animal25_C1","animal28_C4",0.343636363636364
"SCT",10,0.5,"animal25","animal28","animal25_C1","animal28_C8",0.361363636363636
"SCT",10,0.5,"animal25","animal28","animal25_C2","animal28_C10",0.705882352941177
"SCT",10,0.5,"animal25","animal28","animal25_C3","animal28_C11",0.440467997247075
"SCT",10,0.5,"animal25","animal28","animal25_C5","animal28_C7",0.418803418803419
"SCT",10,0.5,"animal25","animal28","animal25_C6","animal28_C1",0.327077747989276
"SCT",10,0.5,"animal25","animal28","animal25_C7","animal28_C6",0.583789704271632
"SCT",10,0.5,"animal25","animal28","animal25_C7","animal28_C8",0.324960753532182
"SCT",10,0.5,"animal25","animal28","animal25_C8","animal28_C4",0.540053660406286
"SCT",10,0.5,"animal25","animal28","animal25_C9","animal28_C6",0.460269865067466
"SCT",10,0.5,"animal25","animal28","animal25_C9","animal28_C8",0.530005042864347
"SCT",10,0.5,"animal25","animal28","animal25_C11","animal28_C0",0.325118764845606
"SCT",10,0.5,"animal26","animal27","animal26_C2","animal27_C7",0.43298969072165
"SCT",10,0.5,"animal26","animal28","animal26_C0","animal28_C0",0.43476787529651
"SCT",10,0.5,"animal26","animal28","animal26_C2","animal28_C6",0.560704355885079
"SCT",10,0.5,"animal26","animal28","animal26_C2","animal28_C8",0.450261780104712
"SCT",10,0.5,"animal26","animal28","animal26_C3","animal28_C1",0.311797752808989
"SCT",10,0.5,"animal26","animal28","animal26_C4","animal28_C4",0.590626144269498
"SCT",10,0.5,"animal26","animal28","animal26_C6","animal28_C7",0.307062436028659
"SCT",10,0.5,"animal26","animal28","animal26_C8","animal28_C12",0.315403422982885
"SCT",10,0.5,"animal27","animal28","animal27_C7","animal28_C6",0.366159355416294
"SCT",10,0.5,"animal27","animal28","animal27_C7","animal28_C8",0.356883116883117
"SCT",10,0.75,"animal25","animal26","animal25_C1","animal26_C0",0.364821882951654
"SCT",10,0.75,"animal25","animal26","animal25_C4","animal26_C5",0.363420427553444
"SCT",10,0.75,"animal25","animal26","animal25_C6","animal26_C3",0.49468954248366
"SCT",10,0.75,"animal25","animal26","animal25_C6","animal26_C9",0.363537513591881
"SCT",10,0.75,"animal25","animal26","animal25_C7","animal26_C4",0.560402684563758
"SCT",10,0.75,"animal25","animal26","animal25_C8","animal26_C4",0.481927710843373
"SCT",10,0.75,"animal25","animal26","animal25_C8","animal26_C10",0.456254050550875
"SCT",10,0.75,"animal25","animal26","animal25_C9","animal26_C1",0.460580912863071
"SCT",10,0.75,"animal25","animal26","animal25_C10","animal26_C8",0.330490405117271
"SCT",10,0.75,"animal25","animal26","animal25_C12","animal26_C12",0.322916666666667
"SCT",10,0.75,"animal25","animal27","animal25_C2","animal27_C2",0.344827586206897
"SCT",10,0.75,"animal25","animal27","animal25_C7","animal27_C9",0.315988647114475
"SCT",10,0.75,"animal25","animal27","animal25_C8","animal27_C9",0.39290780141844
"SCT",10,0.75,"animal25","animal27","animal25_C15","animal27_C10",0.348659003831418
