"cluster","n"
"animal25_C9",90
"animal26_C4",90
"animal26_C2",80
"animal28_C5",80
"animal26_C0",75
"animal27_C9",70
"animal28_C11",70
"animal25_C1",65
"animal25_C6",65
"animal25_C7",65
"animal28_C0",65
"animal28_C12",65
"animal25_C8",60
"animal25_C0",55
"animal26_C5",55
"animal25_C10",50
"animal25_C11",50
"animal28_C1",50
"animal28_C4",50
"animal28_C6",50
"animal28_C7",50
"animal28_C8",50
"animal26_C6",45
"animal28_C3",45
"animal25_C12",40
"animal26_C7",40
"animal26_C8",40
"animal28_C13",40
"animal25_C2",35
"animal25_C5",35
"animal26_C3",35
"animal27_C6",35
"animal27_C7",35
"animal28_C10",35
"animal28_C17",35
"animal25_C4",30
"animal26_C9",30
"animal27_C8",30
"animal25_C13",25
"animal25_C3",25
"animal26_C1",25
"animal26_C10",25
"animal26_C11",25
"animal28_C15",25
"animal28_C9",25
"animal26_C12",20
"animal26_C14",20
"animal27_C10",20
"animal27_C5",20
"animal25_C14",15
"animal28_C14",15
"animal28_C18",15
"animal25_C15",10
"animal26_C15",10
"animal27_C1",10
"animal27_C2",10
"animal28_C16",10
"animal25_C17",5
"animal25_C18",5
"animal28_C2",5
