"cluster","animal","n_DEGs","dims","resolution"
"C0","animal25",2123556,"10","0.25"
"C0","animal26",480212,"10","0.25"
"C0","animal27",1616786,"10","0.25"
"C0","animal28",2974496,"10","0.25"
"C1","animal25",284130,"10","0.25"
"C1","animal26",137514,"10","0.25"
"C1","animal27",242556,"10","0.25"
"C1","animal28",1058538,"10","0.25"
"C2","animal25",252915,"10","0.25"
"C2","animal26",119535,"10","0.25"
"C2","animal27",60060,"10","0.25"
"C2","animal28",566670,"10","0.25"
"C3","animal25",40898,"10","0.25"
"C3","animal26",63041,"10","0.25"
"C3","animal27",53482,"10","0.25"
"C3","animal28",299233,"10","0.25"
"C4","animal25",1187601,"10","0.25"
"C4","animal26",936149,"10","0.25"
"C4","animal27",395867,"10","0.25"
"C4","animal28",3280769,"10","0.25"
"C5","animal25",76195,"10","0.25"
"C5","animal26",166845,"10","0.25"
"C5","animal27",56105,"10","0.25"
"C5","animal28",455700,"10","0.25"
"C6","animal25",88637,"10","0.25"
"C6","animal26",54511,"10","0.25"
"C6","animal27",38958,"10","0.25"
"C6","animal28",14194,"10","0.25"
"C7","animal25",27405,"10","0.25"
"C7","animal26",10962,"10","0.25"
"C7","animal27",66555,"10","0.25"
"C7","animal28",31581,"10","0.25"
"C8","animal25",18939,"10","0.25"
"C8","animal26",3717,"10","0.25"
"C8","animal27",34161,"10","0.25"
"C8","animal28",17877,"10","0.25"
"C0","animal25",605535,"10","0.5"
"C0","animal26",156950,"10","0.5"
"C0","animal27",539105,"10","0.5"
"C0","animal28",931480,"10","0.5"
"C1","animal25",479912,"10","0.5"
"C1","animal26",87713,"10","0.5"
"C1","animal27",287278,"10","0.5"
"C1","animal28",590569,"10","0.5"
"C10","animal25",88050,"10","0.5"
"C10","animal26",54150,"10","0.5"
"C10","animal27",38550,"10","0.5"
"C10","animal28",14400,"10","0.5"
"C11","animal25",329340,"10","0.5"
"C11","animal26",227544,"10","0.5"
"C11","animal27",135728,"10","0.5"
"C11","animal28",519958,"10","0.5"
"C12","animal25",168776,"10","0.5"
"C12","animal26",175712,"10","0.5"
"C12","animal27",32368,"10","0.5"
"C12","animal28",715564,"10","0.5"
"C13","animal25",10956,"10","0.5"
"C13","animal26",1980,"10","0.5"
"C13","animal27",8184,"10","0.5"
"C13","animal28",10956,"10","0.5"
"C14","animal25",3150,"10","0.5"
"C14","animal26",882,"10","0.5"
"C14","animal27",16254,"10","0.5"
"C14","animal28",2268,"10","0.5"
"C2","animal25",61628,"10","0.5"
"C2","animal26",60884,"10","0.5"
"C2","animal27",36580,"10","0.5"
"C2","animal28",454832,"10","0.5"
"C3","animal25",43250,"10","0.5"
"C3","animal26",63750,"10","0.5"
"C3","animal27",55000,"10","0.5"
"C3","animal28",309750,"10","0.5"
"C4","animal25",77982,"10","0.5"
"C4","animal26",170478,"10","0.5"
"C4","animal27",61008,"10","0.5"
"C4","animal28",468138,"10","0.5"
"C5","animal25",116366,"10","0.5"
"C5","animal26",82004,"10","0.5"
"C5","animal27",29880,"10","0.5"
"C5","animal28",220946,"10","0.5"
"C6","animal25",75852,"10","0.5"
