"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","animal","method","dims","resolution"
0,3.41243365250612,0.1,0.009,0,0,"CCL16","merged","SCT",15,0.25
0,2.88576398095636,0.138,0.02,0,0,"ENSBTAG00000009656","merged","SCT",15,0.25
0,2.87714455039762,0.333,0.047,0,0,"NKG2A","merged","SCT",15,0.25
0,2.64592984733644,0.149,0.023,0,0,"ENSBTAG00000054461","merged","SCT",15,0.25
0,2.56168241445184,0.969,0.381,0,0,"CCL5","merged","SCT",15,0.25
0,2.49732590133565,0.317,0.058,0,0,"NCR1","merged","SCT",15,0.25
0,2.45330404745692,0.244,0.046,0,0,"FGR","merged","SCT",15,0.25
0,2.38322536417111,0.919,0.248,0,0,"IDO1","merged","SCT",15,0.25
0,2.37530666542094,0.566,0.11,0,0,"ENSBTAG00000051183","merged","SCT",15,0.25
0,2.3635163034457,0.578,0.139,0,0,"IFI6","merged","SCT",15,0.25
0,2.24537517372414,0.424,0.098,0,0,"C5H12orf75","merged","SCT",15,0.25
0,2.21926220942911,0.143,0.031,0,0,"SNX10","merged","SCT",15,0.25
0,2.2175522547903,0.221,0.044,0,0,"GZMA","merged","SCT",15,0.25
0,2.16552976320423,0.247,0.053,0,0,"CX3CR1","merged","SCT",15,0.25
0,2.11631612569015,0.302,0.074,0,0,"DTNBP1","merged","SCT",15,0.25
0,2.11552650520373,0.371,0.088,0,0,"KLRI1","merged","SCT",15,0.25
0,2.08393092032314,0.443,0.183,0,0,"ENSBTAG00000053497","merged","SCT",15,0.25
0,2.07718142258906,0.933,0.29,0,0,"FCER1G","merged","SCT",15,0.25
0,2.06220684313351,0.238,0.057,0,0,"S1PR5","merged","SCT",15,0.25
0,2.03475140268189,0.231,0.054,0,0,"KLRF1","merged","SCT",15,0.25
0,2.01369631553251,0.424,0.236,0,0,"ENSBTAG00000047449","merged","SCT",15,0.25
0,1.97243110954153,0.748,0.249,0,0,"HOPX","merged","SCT",15,0.25
0,1.9631106447381,0.161,0.042,0,0,"ACSL1","merged","SCT",15,0.25
0,1.94382114315634,0.188,0.05,0,0,"FCGR3A","merged","SCT",15,0.25
0,1.94046974637184,0.187,0.047,0,0,"PTPN4","merged","SCT",15,0.25
0,1.90002810470384,0.213,0.058,0,0,"TMED3","merged","SCT",15,0.25
0,1.89485799151484,0.16,0.044,0,0,"ENSBTAG00000045854","merged","SCT",15,0.25
0,1.89263675159816,0.221,0.062,0,0,"ENSBTAG00000009943","merged","SCT",15,0.25
0,1.8922608800288,0.441,0.127,0,0,"KLRD1","merged","SCT",15,0.25
0,1.86022505102121,0.179,0.05,0,0,"CD82","merged","SCT",15,0.25
0,1.81924779812133,0.293,0.085,0,0,"TSPAN4","merged","SCT",15,0.25
0,1.80978131636189,0.616,0.199,0,0,"NKG7","merged","SCT",15,0.25
0,1.781420181419,0.167,0.043,0,0,"BANK1","merged","SCT",15,0.25
0,1.75239159358908,0.493,0.167,0,0,"IL2RB","merged","SCT",15,0.25
0,1.72820272371686,0.311,0.099,0,0,"ST6GALNAC2","merged","SCT",15,0.25
0,1.70292391602185,0.175,0.053,0,0,"PSTPIP2","merged","SCT",15,0.25
0,1.67306175358823,0.243,0.089,0,0,"ENSBTAG00000013919","merged","SCT",15,0.25
0,1.66463216364161,0.204,0.062,0,0,"ADGRG1","merged","SCT",15,0.25
0,1.6520973182011,0.461,0.154,0,0,"ENSBTAG00000030426","merged","SCT",15,0.25
0,1.64827502154311,0.406,0.147,0,0,"ENSBTAG00000011019","merged","SCT",15,0.25
0,1.63617889477256,0.376,0.091,0,0,"ZEB2","merged","SCT",15,0.25
0,1.62240815893718,0.193,0.06,0,0,"SYK","merged","SCT",15,0.25
0,1.59916449042395,0.349,0.131,0,0,"BLA-DQB","merged","SCT",15,0.25
0,1.51249835672886,0.376,0.137,0,0,"LGALS1","merged","SCT",15,0.25
