"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","animal","method","dims","resolution"
0,3.41243365250612,0.1,0.009,0,0,"CCL16","merged","SCT",15,0.25
0,2.88576398095636,0.138,0.02,0,0,"ENSBTAG00000009656","merged","SCT",15,0.25
0,2.87714455039762,0.333,0.047,0,0,"NKG2A","merged","SCT",15,0.25
0,2.64592984733644,0.149,0.023,0,0,"ENSBTAG00000054461","merged","SCT",15,0.25
0,2.56168241445184,0.969,0.381,0,0,"CCL5","merged","SCT",15,0.25
0,2.49732590133565,0.317,0.058,0,0,"NCR1","merged","SCT",15,0.25
0,2.45330404745692,0.244,0.046,0,0,"FGR","merged","SCT",15,0.25
0,2.38322536417111,0.919,0.248,0,0,"IDO1","merged","SCT",15,0.25
0,2.37530666542094,0.566,0.11,0,0,"ENSBTAG00000051183","merged","SCT",15,0.25
0,2.3635163034457,0.578,0.139,0,0,"IFI6","merged","SCT",15,0.25
3.69273654912914e-285,2.34480376183417,0.108,0.022,6.37883311496568e-281,0,"RAB38","merged","SCT",15,0.25
1.46053561841166e-306,2.29543012885541,0.117,0.024,2.52292922724431e-302,0,"PYCARD","merged","SCT",15,0.25
0,2.24537517372414,0.424,0.098,0,0,"C5H12orf75","merged","SCT",15,0.25
0,2.21926220942911,0.143,0.031,0,0,"SNX10","merged","SCT",15,0.25
0,2.2175522547903,0.221,0.044,0,0,"GZMA","merged","SCT",15,0.25
0,2.16552976320423,0.247,0.053,0,0,"CX3CR1","merged","SCT",15,0.25
0,2.11631612569015,0.302,0.074,0,0,"DTNBP1","merged","SCT",15,0.25
0,2.11552650520373,0.371,0.088,0,0,"KLRI1","merged","SCT",15,0.25
0,2.08393092032314,0.443,0.183,0,0,"ENSBTAG00000053497","merged","SCT",15,0.25
0,2.07718142258906,0.933,0.29,0,0,"FCER1G","merged","SCT",15,0.25
0,2.06220684313351,0.238,0.057,0,0,"S1PR5","merged","SCT",15,0.25
3.12790230947555e-272,2.05786008390914,0.125,0.032,5.40313844938807e-268,0,"BOLA-DRA","merged","SCT",15,0.25
0,2.03475140268189,0.231,0.054,0,0,"KLRF1","merged","SCT",15,0.25
0,2.01369631553251,0.424,0.236,0,0,"ENSBTAG00000047449","merged","SCT",15,0.25
0,1.97243110954153,0.748,0.249,0,0,"HOPX","merged","SCT",15,0.25
0,1.9631106447381,0.161,0.042,0,0,"ACSL1","merged","SCT",15,0.25
2.47411632057947e-286,1.96133863362089,0.132,0.034,4.27378853216897e-282,0,"ASS1","merged","SCT",15,0.25
2.15834658747657e-263,1.95633330077573,0.121,0.031,3.72832789520702e-259,0,"RHOQ","merged","SCT",15,0.25
0,1.94382114315634,0.188,0.05,0,0,"FCGR3A","merged","SCT",15,0.25
0,1.94046974637184,0.187,0.047,0,0,"PTPN4","merged","SCT",15,0.25
5.82678200273728e-226,1.91353709795269,0.107,0.028,1.00651832315284e-221,0,"SPATS2L","merged","SCT",15,0.25
0,1.90002810470384,0.213,0.058,0,0,"TMED3","merged","SCT",15,0.25
0,1.89485799151484,0.16,0.044,0,0,"ENSBTAG00000045854","merged","SCT",15,0.25
0,1.89263675159816,0.221,0.062,0,0,"ENSBTAG00000009943","merged","SCT",15,0.25
0,1.8922608800288,0.441,0.127,0,0,"KLRD1","merged","SCT",15,0.25
1.04869122558254e-240,1.89043118521587,0.117,0.031,1.81150922307128e-236,0,"PTPRF","merged","SCT",15,0.25
5.26494277033687e-300,1.87957653381001,0.147,0.041,9.09466214147992e-296,0,"PRAM1","merged","SCT",15,0.25
0,1.86022505102121,0.179,0.05,0,0,"CD82","merged","SCT",15,0.25
2.80073105225904e-245,1.85416921867842,0.123,0.034,4.83798281967227e-241,0,"CCR8","merged","SCT",15,0.25
0,1.81924779812133,0.293,0.085,0,0,"TSPAN4","merged","SCT",15,0.25
0,1.80978131636189,0.616,0.199,0,0,"NKG7","merged","SCT",15,0.25
