"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"SCT","merged",10,0.25,0,13275,NA,FALSE,0.23496778337239
"SCT","merged",10,0.25,1,7003,0.274283345908558,FALSE,0.23496778337239
"SCT","merged",10,0.25,2,5124,0.267533104493664,FALSE,0.23496778337239
"SCT","merged",10,0.25,3,3774,0.0513487623586829,FALSE,0.23496778337239
"SCT","merged",10,0.25,4,3414,0.228850196634051,FALSE,0.23496778337239
"SCT","merged",10,0.25,5,3081,0.176120893330374,FALSE,0.23496778337239
"SCT","merged",10,0.25,6,1300,0.312542973904378,FALSE,0.23496778337239
"SCT","merged",10,0.25,7,523,0.455130436199139,FALSE,0.23496778337239
"SCT","merged",10,0.25,8,422,0.312730881992738,FALSE,0.23496778337239
"SCT","merged",10,0.3,0,11718,NA,FALSE,0.228403186850224
"SCT","merged",10,0.3,1,6859,0.328947687965343,FALSE,0.228403186850224
"SCT","merged",10,0.3,2,5318,0.271916267285506,FALSE,0.228403186850224
"SCT","merged",10,0.3,3,3847,0.0385187357628288,FALSE,0.228403186850224
"SCT","merged",10,0.3,4,3157,0.215411637304717,FALSE,0.228403186850224
"SCT","merged",10,0.3,5,2389,0.280811916031684,FALSE,0.228403186850224
"SCT","merged",10,0.3,6,2322,-0.0517220418233498,FALSE,0.228403186850224
"SCT","merged",10,0.3,7,1295,0.199515223922994,FALSE,0.228403186850224
"SCT","merged",10,0.3,8,592,0.458487279050394,FALSE,0.228403186850224
"SCT","merged",10,0.3,9,419,0.233489671714231,FALSE,0.228403186850224
"SCT","merged",10,0.5,0,6118,NA,FALSE,0.172012558259589
"SCT","merged",10,0.5,1,6048,0.109430703905454,FALSE,0.172012558259589
"SCT","merged",10,0.5,2,4951,0.239307842608304,FALSE,0.172012558259589
"SCT","merged",10,0.5,3,3774,0.258357123858472,FALSE,0.172012558259589
"SCT","merged",10,0.5,4,3161,0.129221192725101,FALSE,0.172012558259589
"SCT","merged",10,0.5,5,2706,0.263287422511101,FALSE,0.172012558259589
"SCT","merged",10,0.5,6,2483,0.0558573206424392,FALSE,0.172012558259589
"SCT","merged",10,0.5,7,1849,0.0306772467262289,FALSE,0.172012558259589
"SCT","merged",10,0.5,8,1481,0.223666456528136,FALSE,0.172012558259589
"SCT","merged",10,0.5,9,1462,-0.0630659132412642,FALSE,0.172012558259589
"SCT","merged",10,0.5,10,1301,0.207320316865275,FALSE,0.172012558259589
"SCT","merged",10,0.5,11,1215,0.393467744958942,FALSE,0.172012558259589
"SCT","merged",10,0.5,12,945,-0.00891326961043514,FALSE,0.172012558259589
"SCT","merged",10,0.5,13,243,0.388275604290267,FALSE,0.172012558259589
"SCT","merged",10,0.5,14,179,0.119336806326894,FALSE,0.172012558259589
"SCT","merged",10,0.75,0,5633,NA,FALSE,0.167149412158599
"SCT","merged",10,0.75,1,4392,0.181103527123791,FALSE,0.167149412158599
"SCT","merged",10,0.75,2,4146,0.364770823427774,FALSE,0.167149412158599
"SCT","merged",10,0.75,3,3966,0.217624209405581,FALSE,0.167149412158599
"SCT","merged",10,0.75,4,3230,0.115502284666149,FALSE,0.167149412158599
"SCT","merged",10,0.75,5,2810,0.0318720467332964,FALSE,0.167149412158599
"SCT","merged",10,0.75,6,2765,0.201542725281015,FALSE,0.167149412158599
"SCT","merged",10,0.75,7,2468,0.149573400792027,FALSE,0.167149412158599
"SCT","merged",10,0.75,8,1980,0.0329090354780353,FALSE,0.167149412158599
"SCT","merged",10,0.75,9,1504,0.0188531995909347,FALSE,0.167149412158599
"SCT","merged",10,0.75,10,1366,-0.111539599364465,FALSE,0.167149412158599
"SCT","merged",10,0.75,11,1291,0.238786749232488,FALSE,0.167149412158599
"SCT","merged",10,0.75,12,980,0.403739155076253,FALSE,0.167149412158599
"SCT","merged",10,0.75,13,824,0.356649655619569,FALSE,0.167149412158599
"SCT","merged",10,0.75,14,243,0.0149766259338906,FALSE,0.167149412158599
"SCT","merged",10,0.75,15,183,0.119513491329579,FALSE,0.167149412158599
"SCT","merged",10,0.75,16,135,0.327273311053813,FALSE,0.167149412158599
"SCT","merged",15,0.25,0,13260,NA,FALSE,0.211724117509996
"SCT","merged",15,0.25,1,6294,0.217153670186687,FALSE,0.211724117509996
"SCT","merged",15,0.25,2,3867,0.237003873135448,FALSE,0.211724117509996
"SCT","merged",15,0.25,3,3508,0.214805621892947,FALSE,0.211724117509996
"SCT","merged",15,0.25,4,3369,0.139831955549642,FALSE,0.211724117509996
"SCT","merged",15,0.25,5,3018,0.0804113447061526,FALSE,0.211724117509996
"SCT","merged",15,0.25,6,2310,0.296623307584164,FALSE,0.211724117509996
"SCT","merged",15,0.25,7,1293,0.155493392310842,FALSE,0.211724117509996
"SCT","merged",15,0.25,8,576,0.422725501078688,FALSE,0.211724117509996
"SCT","merged",15,0.25,9,238,0.187391845423463,FALSE,0.211724117509996
"SCT","merged",15,0.25,10,183,0.160987521610696,FALSE,0.211724117509996
"SCT","merged",15,0.3,0,12318,NA,FALSE,0.193491075810081
"SCT","merged",15,0.3,1,4531,0.216722065061876,FALSE,0.193491075810081
"SCT","merged",15,0.3,2,3896,0.321912871125162,FALSE,0.193491075810081
"SCT","merged",15,0.3,3,3443,0.144868329091169,FALSE,0.193491075810081
"SCT","merged",15,0.3,4,3053,0.0434073204772275,FALSE,0.193491075810081
"SCT","merged",15,0.3,5,2318,0.268288542000504,FALSE,0.193491075810081
"SCT","merged",15,0.3,6,2290,0.128696567694106,FALSE,0.193491075810081
"SCT","merged",15,0.3,7,2026,0.143531565448415,FALSE,0.193491075810081
"SCT","merged",15,0.3,8,1674,-0.0491098964307319,FALSE,0.193491075810081
"SCT","merged",15,0.3,9,1293,0.222868580163094,FALSE,0.193491075810081
"SCT","merged",15,0.3,10,653,0.410094095453334,FALSE,0.193491075810081
"SCT","merged",15,0.3,11,238,0.141130970376723,FALSE,0.193491075810081
"SCT","merged",15,0.3,12,183,0.152205343062581,FALSE,0.193491075810081
"SCT","merged",15,0.5,0,8487,NA,FALSE,0.14812416079195
"SCT","merged",15,0.5,1,3919,0.0879103668099693,FALSE,0.14812416079195
"SCT","merged",15,0.5,2,3909,0.15066945968309,FALSE,0.14812416079195
"SCT","merged",15,0.5,3,3280,0.366876532926317,FALSE,0.14812416079195
"SCT","merged",15,0.5,4,3163,0.06672561107285,FALSE,0.14812416079195
"SCT","merged",15,0.5,5,3107,0.0934821462546318,FALSE,0.14812416079195
"SCT","merged",15,0.5,6,2491,0.254616889501514,FALSE,0.14812416079195
"SCT","merged",15,0.5,7,2443,0.0831489899302024,FALSE,0.14812416079195
"SCT","merged",15,0.5,8,2435,-0.106790225699225,FALSE,0.14812416079195
"SCT","merged",15,0.5,9,2275,0.140299467950079,FALSE,0.14812416079195
"SCT","merged",15,0.5,10,1295,0.225670553155036,FALSE,0.14812416079195
"SCT","merged",15,0.5,11,649,0.408691621978686,FALSE,0.14812416079195
"SCT","merged",15,0.5,12,238,0.116259872722411,FALSE,0.14812416079195
"SCT","merged",15,0.5,13,225,0.150300543025402,FALSE,0.14812416079195
"SCT","merged",15,0.75,0,5030,NA,FALSE,0.155575557424759
"SCT","merged",15,0.75,1,4008,0.170225335039584,FALSE,0.155575557424759
"SCT","merged",15,0.75,2,3966,0.375599677457275,FALSE,0.155575557424759
