"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.82032554612614,0.505,0.31,0,"0","H1-2"
0,1.77114175788782,0.425,0.242,0,"0","RPL17"
0,1.66752527789583,0.582,0.414,0,"0","H1-4"
0,1.32056191335045,0.893,0.746,0,"0","ENSBTAG00000025398"
0,1.17018540203268,0.977,0.576,0,"0","ENSBTAG00000047449"
0,0.923803417260948,0.756,0.749,0,"0","PABPC1"
0,0.840367925392924,0.999,0.979,0,"0","EEF1A1"
0,0.788582859460653,0.811,0.797,0,"0","B2M"
0,0.777216354738905,0.668,0.712,0,"0","GPX1"
0,0.644602023159323,1,0.991,0,"0","TMSB4X"
0,0.630244771254741,0.664,0.773,0,"0","LAPTM5"
0,0.625656433825253,0.993,0.978,0,"0","RPS26"
0,0.6232687269776,0.717,0.741,0,"0","VIM"
0,0.606271521848655,0.996,0.971,0,"0","RPL35A"
0,0.587797851852585,0.955,0.718,0,"0","IDO1"
0,0.575611000834259,1,0.985,0,"0","RPL10"
0,0.552812030754914,0.777,0.791,0,"0","CRIP1"
0,0.552753182092284,0.994,0.976,0,"0","FAU"
0,0.547898555899228,0.974,0.951,0,"0","RPS9"
0,0.537812132777665,0.994,0.972,0,"0","ACTB"
0,0.536865847678992,0.777,0.839,0,"0","SH3BGRL3"
0,0.534986184789092,0.995,0.973,0,"0","RPLP0"
0,0.505644553202077,0.856,0.887,0,"0","RPL6"
9.37798891929477e-209,0.811400465076551,0.51,0.545,1.89519778070028e-204,"0","HOPX"
1.09673913134931e-187,0.697275443993271,0.576,0.695,2.21640011054383e-183,"0","EEF2"
2.2064724759212e-161,0.50148073308091,0.142,0.277,4.45906022658915e-157,"0","UBE2V1"
6.05525407612848e-160,0.542339410654706,0.645,0.769,1.2237062962448e-155,"0","HSP90AB1"
5.88012395754794e-150,0.977097789326313,0.482,0.567,1.18831425058086e-145,"0","CDC42"
1.57332564925317e-145,0.530276612356579,0.168,0.313,3.17953380457572e-141,"0","MRPL52"
3.68295554481714e-144,0.515298863224638,0.144,0.271,7.44288486052096e-140,"0","DCTN2"
2.33787754820698e-142,0.537761545304737,0.154,0.287,4.72461673717149e-138,"0","SCP2"
3.37660922667919e-142,0.829825377931874,0.463,0.489,6.82378958619598e-138,"0","IFI6"
2.72019571789624e-131,0.504319313001357,0.207,0.373,5.49724352629652e-127,"0","COX8A"
7.30888769044567e-121,0.556188758995899,0.578,0.719,1.47705311336217e-116,"0","NACA"
3.11381357837182e-117,0.510309961092753,0.631,0.791,6.2927058605316e-113,"0","ARPC2"
8.91845205454951e-116,0.551360384759549,0.191,0.338,1.80232997570391e-111,"0","VDAC2"
8.86946231132083e-114,0.616194137988752,0.189,0.334,1.79242963849483e-109,"0","RTRAF"
1.69145991597045e-113,0.584664903998849,0.143,0.257,3.41827134418468e-109,"0","SNX3"
2.53552680396595e-110,0.54191019717336,0.229,0.401,5.12404611813479e-106,"0","EIF3H"
2.95922800951849e-108,0.649118030629018,0.157,0.278,5.98030388443593e-104,"0","FKBP1A"
1.30512230178416e-107,0.524737980302248,0.5,0.542,2.63752165967562e-103,"0","S100A11"
2.01299583599268e-105,0.560484618462045,0.153,0.269,4.0680632849576e-101,"0","SELENOK"
4.98471448548159e-105,0.506849626503886,0.177,0.306,1.00736095037097e-100,"0","UTP14A"
2.291032212072e-95,0.516220280462861,0.257,0.438,4.62994699737631e-91,"0","MAP1LC3B"
4.1325100830347e-94,0.508777963527302,0.249,0.426,8.35138962680482e-90,"0","UBXN1"
1.27204699377384e-92,0.608964938946533,0.225,0.381,2.57067976971755e-88,"0","ST13"
6.18279434512366e-89,0.602487077647344,0.545,0.695,1.24948090920604e-84,"0","RHOA"
4.22609686782032e-87,0.585871655878786,0.235,0.397,8.54051916017809e-83,"0","LDHB"
8.28391621091993e-87,0.700010053704121,0.158,0.268,1.67409662706481e-82,"0","EIF2S3"
1.1957525074427e-86,0.554464241344788,0.257,0.436,2.41649624229094e-82,"0","SAP18"
5.59782481276039e-78,0.633575325315233,0.18,0.298,1.13126441641075e-73,"0","TWF2"
2.31517549346556e-76,0.515104498869746,0.239,0.392,4.67873815474455e-72,"0","CAP1"
4.42680598732406e-69,0.57847206570976,0.201,0.324,8.94613221978318e-65,"0","ACTR2"
8.84582969862112e-65,0.581316258473069,0.214,0.343,1.78765372379434e-60,"0","HNRNPA3"
1.05335055037915e-59,0.975163170676268,0.367,0.406,2.12871612726122e-55,"0","KLRK1"
1.70040372780172e-56,0.604539509689295,0.229,0.363,3.4363458935145e-52,"0","GSTP1.1"
2.81883608043532e-55,0.763121168697946,0.207,0.327,5.69658583495174e-51,"0","PAIP2"
1.71775551742307e-54,0.647794768062592,0.184,0.288,3.47141212516029e-50,"0","SH3BP1"
2.65181755072288e-52,0.720589303237587,0.197,0.307,5.35905808825588e-48,"0","GDI2"
1.66760023917245e-51,0.579678899560327,0.183,0.282,3.3700533233436e-47,"0","H2AC20"
6.73462170037574e-48,0.990939088250979,0.408,0.507,1.36099969942893e-43,"0","EIF3M"
5.94487097307413e-47,0.624829365540655,0.233,0.362,1.20139897494855e-42,"0","UNC119"
1.24401349402656e-40,0.694174144591043,0.47,0.626,2.51402687007827e-36,"0","YBX1"
1.70339895714136e-36,0.575035516032021,0.276,0.42,3.44239895248698e-32,"0","PTMS"
9.71570380547213e-34,0.503524463140441,0.319,0.501,1.96344658204786e-29,"0","EIF3E"
3.48517070126644e-32,0.788383151501775,0.207,0.306,7.04318147018935e-28,"0","PNRC2"
6.47804403673773e-30,0.628041433175909,0.474,0.632,1.30914791938433e-25,"0","PSME1"
3.06057620377674e-29,0.595918946561936,0.313,0.485,6.18511845021242e-25,"0","CALM2"
1.64738219291765e-25,0.890193993146142,0.179,0.256,3.32919467366729e-21,"0","CCNG1"
1.51745808940174e-21,0.69246152988131,0.286,0.428,3.06663105287199e-17,"0","EIF5A"
1.0400022024929e-19,0.683882275143423,0.298,0.448,2.1017404510179e-15,"0","DAZAP2"
4.03697547083062e-17,0.751998384358701,0.306,0.455,8.15832372900161e-13,"0","SERBP1"
3.60142882382465e-12,0.500398377195435,0.464,0.643,7.27812751006724e-08,"0","SSR2"
1.34548844618097e-11,1.07725355190223,0.243,0.271,2.71909760088713e-07,"0","ANXA1"
9.62086918604656e-10,0.770932932790579,0.229,0.31,1.94428145380815e-05,"0","YWHAQ"
9.80807303659608e-10,0.705974962579876,0.394,0.52,1.9821134799657e-05,"0","ENSBTAG00000054649"
1.31456889104419e-08,1.03470209666623,0.237,0.266,0.00026566122719112,"0","SKP1"
9.52698064953675e-08,0.599326831624646,0.341,0.489,0.00192530751946488,"0","YWHAZ"
7.89416314305966e-07,0.619097108604736,0.429,0.595,0.0159533142958093,"0","PFDN5"
0,1.77285063339255,0.423,0.14,0,"1","TSSC4"
0,1.72791357982942,0.432,0.149,0,"1","PHETA2"
0,1.71294707858026,0.517,0.145,0,"1","ENSBTAG00000051183"
0,1.53367297645702,0.782,0.321,0,"1","ENSBTAG00000005315"
0,1.48408780384944,0.292,0.112,0,"1","YJEFN3"
0,1.4707743406638,0.757,0.311,0,"1","ERP27"
0,1.43736764161334,0.285,0.105,0,"1","IFITM3"
0,1.41513310908865,0.822,0.343,0,"1","RPS29"
0,1.40691108277544,0.81,0.338,0,"1","HSD11B1L"
0,1.24886533362054,0.556,0.229,0,"1","GNAS"
0,1.24071206252817,0.803,0.341,0,"1","PTMA"
0,1.21602208883905,0.417,0.176,0,"1","ENSBTAG00000050046"
0,1.17491511932513,0.265,0.113,0,"1","MRI1"
0,1.17122351884941,0.347,0.149,0,"1","ATP6V0C"
0,1.15679959637354,0.375,0.12,0,"1","DTNBP1"
0,1.12937601114748,0.822,0.384,0,"1","RPL23A"
0,1.07027420777849,0.362,0.157,0,"1","ENSBTAG00000040331"
0,0.995049380313381,0.468,0.212,0,"1","ENSBTAG00000037510"
0,0.992342163591018,0.285,0.111,0,"1","ENSBTAG00000009943"
0,0.952136001131136,0.417,0.199,0,"1","PBX2"
0,0.932957071621405,0.376,0.177,0,"1","CORO1C"
0,0.93007817536237,0.516,0.261,0,"1","H1-10"
0,0.880051223621379,0.526,0.267,0,"1","DNMT1"
0,0.862831337061549,0.452,0.218,0,"1","ARF6"
0,0.785484033102198,0.607,0.321,0,"1","PCBP1"
0,0.765610409646378,0.484,0.226,0,"1","LGALS1"
0,0.745045892148234,0.471,0.214,0,"1","VAMP5"
0,0.732420929105127,0.971,0.797,0,"1","CCL5"
0,0.724264325699646,0.79,0.465,0,"1","RPL36A"
0,0.715086539957383,0.506,0.233,0,"1","ENSBTAG00000011019"
0,0.679622899663313,0.999,0.967,0,"1","ZC3H10"
0,0.654046061397616,0.28,0.115,0,"1","KLRF1"
0,0.644104094758806,0.269,0.133,0,"1","GPR174"
0,0.638605467405976,0.892,0.623,0,"1","FCER1G"
0,0.616609994394722,0.817,0.479,0,"1","HOPX"
0,0.616503537449941,0.998,0.958,0,"1","RPS19"
0,0.611694121698589,0.559,0.307,0,"1","YPEL3"
0,0.605766141428091,0.972,0.797,0,"1","RPS18"
0,0.602202761788359,0.286,0.143,0,"1","ENSBTAG00000013919"
0,0.596196847298248,0.423,0.216,0,"1","ANXA2"
0,0.595976007404985,0.919,0.655,0,"1","UBD"
0,0.588694483032084,0.336,0.156,0,"1","ABRACL"
0,0.580224096775638,1,0.992,0,"1","RPLP1"
0,0.580171823203492,0.27,0.122,0,"1","CXXC5"
0,0.578889991846114,0.301,0.142,0,"1","PTPN6"
0,0.576467065100966,0.991,0.9,0,"1","RPL27A"
0,0.572110933779111,0.409,0.185,0,"1","CMC1"
0,0.571378044091456,0.986,0.873,0,"1","RPS11"
0,0.56331413649677,0.317,0.157,0,"1","COX17"
0,0.561409334492708,0.439,0.216,0,"1","ENSBTAG00000054938"
0,0.556434240108223,0.382,0.182,0,"1","TSPAN4"
0,0.550297682606305,0.382,0.21,0,"1","ENSBTAG00000039588"
0,0.549665839596059,0.464,0.25,0,"1","GIMAP5"
0,0.535564610588899,0.691,0.421,0,"1","LGALS9"
0,0.534952099723847,0.418,0.218,0,"1","NDUFS5"
0,0.534770033623619,0.75,0.413,0,"1","NKG7"
0,0.532643430471024,0.378,0.2,0,"1","RBX1"
0,0.527924680534959,0.998,0.946,0,"1","RPL37A"
0,0.526702192911681,0.483,0.27,0,"1","ENSBTAG00000037937"
0,0.526372079091265,0.899,0.673,0,"1","RACK1"
0,0.515745320724218,0.721,0.434,0,"1","UQCRH"
0,0.511371641041731,0.337,0.181,0,"1","ENSBTAG00000050219"
0,0.509955284754168,0.44,0.233,0,"1","MICOS13"
0,0.507822471992884,0.801,0.505,0,"1","ATP5MG"
0,0.500056616658527,0.295,0.146,0,"1","CD2"
9.1035727674279e-270,0.597294109739696,0.27,0.142,1.8397410205695e-265,"1","RBIS"
1.69692497269927e-268,0.556265847804083,0.365,0.215,3.42931567732796e-264,"1","CD74"
0,2.31540975123978,0.96,0.495,0,"2","ADGRE5"
0,2.2822690983825,0.504,0.137,0,"2","ENSBTAG00000052173"
0,2.27506576704217,0.387,0.095,0,"2","CPD"
0,2.22398030977016,0.522,0.156,0,"2","TNFAIP3"
0,2.19840595549526,0.367,0.095,0,"2","ENSBTAG00000054461"
0,2.17105116287723,0.861,0.337,0,"2","ITGAL"
0,2.10370305886893,0.26,0.062,0,"2","HEG1"
0,1.98563379982054,0.602,0.178,0,"2","PAG1"
0,1.96348558534747,0.699,0.241,0,"2","TNFRSF1B"
0,1.95965076667356,0.309,0.097,0,"2","KMT2A"
0,1.95854822172585,0.698,0.257,0,"2","SPN"
0,1.91539403817426,0.907,0.43,0,"2","AHNAK"
0,1.90534394008005,0.486,0.168,0,"2","GLG1"
0,1.89129663946344,0.312,0.098,0,"2","CREBBP"
0,1.87912310488775,0.435,0.155,0,"2","SLC2A3"
0,1.87457049229324,0.263,0.089,0,"2","SPEN"
0,1.86576059135819,0.699,0.276,0,"2","MACF1"
0,1.8517802801365,0.438,0.154,0,"2","ANKRD11"
0,1.84980062896927,0.805,0.379,0,"2","HSPA5"
0,1.83748970420799,0.28,0.088,0,"2","IFRD1"
0,1.82022637184512,0.323,0.103,0,"2","AFF1"
0,1.81510661294787,0.276,0.089,0,"2","AOAH"
0,1.80928049512229,0.703,0.268,0,"2","LNPEP"
0,1.80765622357371,0.313,0.099,0,"2","MYO5A"
0,1.78821429201806,0.344,0.127,0,"2","SERINC5"
0,1.78815821772247,0.437,0.173,0,"2","ITPR2"
0,1.78382882037425,0.306,0.101,0,"2","TAP2"
0,1.78336006338199,0.325,0.123,0,"2","FLNB"
0,1.78079496392336,0.419,0.157,0,"2","HERPUD1"
0,1.77247630143622,0.664,0.278,0,"2","F2R"
0,1.77087816391501,0.383,0.127,0,"2","SSH1"
0,1.76108590164756,0.522,0.188,0,"2","GZMA"
0,1.74868225867019,0.455,0.161,0,"2","CX3CR1"
0,1.74700060528399,0.395,0.155,0,"2","SYNE1"
0,1.74614530492893,0.273,0.094,0,"2","ATF3"
0,1.74570139667455,0.282,0.098,0,"2","RANBP2"
0,1.74143981734091,0.833,0.424,0,"2","PRF1"
