"Gene","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"HSPA13",616,221,325,356,265,270,179,129,67,122,49,44,12,10
"USP25",1400,457,268,417,756,363,291,306,122,127,106,49,7,19
"ENSBTAG00000038422",60,23,28,39,4,31,12,2,8,15,25,4,3,8
"RBM11",64,27,4,11,6,4,2,1,2,2,1,0,0,6
"ROBO2",5,3,1,0,0,15,6,1,1,1,0,0,0,0
"ROBO1",6,0,0,0,2,3,2,0,0,0,0,0,0,0
"GBE1",619,184,115,152,339,103,112,109,64,58,48,18,6,3
"NRIP1",202,85,87,82,176,254,76,25,25,26,27,11,1,6
"SAMSN1",1239,507,882,549,716,265,533,294,150,362,98,248,1,16
"COMMD2",383,162,97,141,66,239,129,131,32,44,44,26,5,4
"IGSF10",1,0,0,0,0,1,1,0,0,0,1,1,0,0
"MED12L",11,7,15,14,55,62,9,7,3,29,0,0,9,2
"P2RY12",2,0,0,1,0,3,0,0,1,0,0,0,0,4
"P2RY14",23,11,0,37,58,10,8,5,19,502,1,2,1,6
"GPR171",740,320,601,412,207,885,443,263,97,630,55,77,3,14
"SIAH2",338,135,176,151,129,208,167,136,29,43,22,19,7,5
"HPS3",576,207,96,157,194,183,146,111,57,83,46,33,1,11
"PLOD2",10,1,1,1,2,0,0,2,2,1,0,0,0,0
"HLTF",758,281,196,239,221,350,167,124,65,123,102,43,11,8
"ENSBTAG00000062880",105,32,21,20,56,14,22,17,9,11,5,5,0,3
"ENSBTAG00000062539",30,11,7,5,7,4,6,14,3,4,4,2,0,0
"SELENOT",1615,730,265,400,296,317,518,590,101,262,177,97,27,74
"GYG1",1328,577,74,170,120,379,224,276,67,81,124,35,8,17
"HTR1F",392,149,209,186,90,148,98,39,34,70,31,28,2,5
"EIF2A",1163,438,442,406,413,376,283,301,111,154,69,58,8,15
"CGGBP1",2022,806,829,794,440,1278,612,449,188,325,183,152,12,32
"SERP1",1209,515,472,443,112,420,355,304,100,204,120,69,106,72
"ZNF654",570,189,220,194,409,288,168,127,60,58,49,36,3,4
"C1H3orf38",456,183,232,255,155,339,140,121,42,85,47,31,16,7
"CPA3",0,1,0,0,1,0,12,0,0,0,0,0,0,1
"ENSBTAG00000064472",87,33,32,48,105,57,21,14,11,10,9,4,3,0
"EPHA6",11,2,2,1,5,4,2,3,0,1,0,1,0,0
"TSC22D2",244,82,65,82,205,84,47,54,28,27,16,10,1,7
"ENSBTAG00000045974",2,1,4,2,2,5,3,4,0,1,0,1,0,0
"PFN2",1,1,4,3,3,15,2,1,1,0,0,6,0,0
"RNF13",1013,387,295,350,502,312,262,234,89,101,75,59,10,11
"ENSBTAG00000063711",23,6,7,9,9,13,9,5,3,3,0,0,0,0
"P2RY1",8,6,10,0,4,1,15,1,2,30,1,0,0,48
"ARL13B",186,73,140,103,82,131,98,40,17,19,9,21,1,5
"PLSCR2",669,285,148,218,140,264,142,140,52,81,75,27,3,9
"ENSBTAG00000061016",53,14,32,31,13,126,16,11,4,11,5,1,0,0
"PLSCR1",32,9,10,19,15,11,5,8,2,4,7,0,2,0
"ENSBTAG00000034182",152,51,88,68,25,185,51,12,15,77,19,15,3,2
"MBNL1",3656,1700,1137,1199,2087,979,973,913,452,365,261,168,19,70
"NSUN3",268,95,150,143,165,134,102,74,21,27,12,16,1,1
"SUCNR1",0,0,0,0,0,0,0,0,0,0,0,1,1,4
"ENSBTAG00000056343",17,4,15,6,7,2,6,4,7,4,2,2,3,0
"ENSBTAG00000057054",5,2,3,3,11,3,4,1,1,1,0,0,0,0
"CP",11,4,5,5,7,4,4,5,2,2,0,2,0,1
"KPNA4",832,253,245,318,390,309,242,239,79,109,89,46,7,12
"NMD3",297,101,115,156,116,154,115,107,36,43,26,20,3,10
"LEKR1",1024,432,178,287,162,144,120,136,70,81,83,30,2,11
"TIPARP",974,345,278,323,281,356,195,160,74,125,73,52,28,14
"SSR3",1930,921,483,675,277,835,617,471,168,387,232,146,124,30
"KCNAB1",22,9,24,12,22,17,13,3,2,3,2,0,0,0
"MFSD1",270,103,77,74,69,162,89,62,18,53,16,16,3,4
"RARRES1",1,0,13,1,3,34,0,0,2,1,0,3,0,0
"TRIM59",624,241,189,367,130,263,183,191,55,91,89,32,2,7
"SMC4",869,292,629,291,506,674,334,227,91,147,282,49,7,14
"IFT80",228,67,175,84,270,299,52,56,27,46,29,6,3,3
"PPM1L",13,1,4,3,25,5,4,6,0,3,0,2,0,0
"ENSBTAG00000056523",5,5,4,2,3,3,3,4,1,1,1,0,0,0
"GFM1",133,71,91,74,68,87,56,58,16,26,26,13,2,3
"LXN",185,66,15,33,12,101,47,30,7,20,61,13,1,3
"DHX36",1016,340,541,534,531,511,346,275,86,155,104,81,7,9
"ARHGEF26",8,3,8,4,12,4,0,4,2,0,0,1,0,1
"GMPS",1310,537,352,415,468,368,314,307,139,173,162,60,17,21
"SLC33A1",345,140,106,141,116,120,103,98,27,64,32,21,4,5
"C1H3orf33",52,19,40,18,37,63,20,9,3,7,5,2,1,0
"CCNL1",2835,1241,1425,1479,1328,1206,947,752,290,439,221,129,36,32
"MSL2",257,83,74,94,228,102,64,73,25,37,22,12,4,2
"PPP2R3A",938,313,44,36,216,117,22,94,51,22,30,14,11,5
"ENSBTAG00000049656",14,3,2,4,2,0,1,0,0,4,2,0,0,0
"NCK1",1556,649,707,815,433,736,665,444,139,214,105,45,13,31
"SLC35G2",5,1,5,8,4,35,3,0,0,0,1,0,1,0
"RNF7",824,394,354,372,140,516,319,277,82,142,73,71,11,13
"RASA2",427,129,323,392,501,214,213,140,61,99,30,32,10,7
"ZBTB38",1599,664,148,346,392,197,298,399,119,241,114,52,24,22
"ENSBTAG00000052570",516,186,310,239,264,242,291,115,45,74,45,39,4,11
"PXYLP1",82,19,2,2,13,7,2,7,6,4,5,0,0,1
"MLF1",7,0,2,9,21,5,0,4,0,2,0,1,1,0
"ENSBTAG00000046738",10,3,3,5,0,4,3,4,0,2,3,3,0,0
"U2SURP",2395,991,1294,1126,1008,1021,860,639,245,382,208,166,18,38
"RSRC1",1252,444,526,570,777,513,340,303,140,137,113,75,16,18
"TRPC1",39,5,27,56,55,115,10,3,4,11,4,7,0,2
"ENSBTAG00000063974",48,18,6,14,3,15,7,6,3,8,2,0,0,1
"ENSBTAG00000047341",8,1,3,1,0,2,4,1,0,0,1,0,0,0
"ATR",238,63,103,103,200,105,62,49,30,20,24,16,0,5
"ENSBTAG00000022275",464,221,99,141,32,73,64,73,48,73,35,23,20,9
"RAP2B",3086,1420,532,1019,529,722,927,964,230,342,257,183,18,42
"GRAMD1C",618,223,111,150,148,132,89,89,31,29,23,18,1,7
"ENSBTAG00000057383",14,5,2,3,1,9,4,3,0,0,0,1,0,0
"XRN1",1505,569,647,671,714,498,454,383,153,229,110,77,12,23
"ZDHHC23",62,27,51,77,66,44,28,32,11,16,5,3,1,1
"CCDC191",71,26,35,42,55,62,41,25,10,9,11,5,0,4
"ENSBTAG00000024623",4,4,2,0,0,3,0,2,0,0,0,0,0,0
"ENSBTAG00000055730",29,9,11,12,56,8,7,6,3,4,2,2,0,0
