"Gene","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"HSPA13",260,546,397,360,282,268,134,96,65,117,52,45,24,12,7
"USP25",546,1261,374,412,794,361,304,178,110,122,105,48,49,7,17
"ENSBTAG00000038422",29,50,34,36,7,31,2,6,7,15,11,4,19,3,8
"RBM11",28,57,5,10,7,4,1,2,2,2,5,0,1,0,6
"ROBO2",3,4,2,0,1,14,0,6,1,1,1,0,0,0,0
"ROBO1",0,5,1,0,3,3,0,1,0,0,0,0,0,0,0
"GBE1",229,532,139,149,348,105,103,86,62,56,61,20,31,6,3
"NRIP1",96,177,105,83,183,253,26,56,21,24,22,11,19,1,6
"SAMSN1",619,1092,1032,552,740,261,298,367,147,356,73,255,56,1,11
"COMMD2",176,345,145,135,75,241,134,80,30,43,42,27,22,4,4
"IGSF10",0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
"MED12L",8,10,18,13,56,62,7,7,4,28,0,0,0,8,2
"P2RY12",0,2,0,1,0,3,0,0,1,0,0,0,0,0,4
"P2RY14",18,16,1,35,57,10,5,8,23,500,0,2,1,1,6
"GPR171",388,704,706,408,215,888,259,324,98,625,25,77,14,4,12
"SIAH2",143,291,255,151,139,209,138,83,32,41,35,20,17,7,4
"HPS3",239,523,128,162,204,180,109,110,50,81,51,33,19,1,11
"PLOD2",5,2,1,1,3,0,2,0,2,1,3,0,0,0,0
"HLTF",342,657,234,241,236,350,120,126,69,122,71,44,58,11,7
"ENSBTAG00000062880",36,95,26,18,56,14,17,17,9,12,9,5,3,0,3
"ENSBTAG00000062539",14,26,9,4,8,4,15,4,3,3,3,2,2,0,0
"SELENOT",867,1449,382,404,311,316,584,390,101,263,124,102,77,27,72
"GYG1",693,1135,111,165,137,376,277,186,59,78,132,36,68,8,19
"HTR1F",180,336,236,188,90,150,40,66,35,70,36,30,17,2,5
"EIF2A",508,1016,529,407,436,371,308,191,108,149,104,58,30,8,14
"CGGBP1",933,1752,1017,810,475,1274,456,397,192,316,197,157,99,12,35
"SERP1",611,993,582,439,130,416,300,235,100,205,172,71,72,105,70
"ZNF654",220,505,269,197,423,285,129,113,56,55,60,37,18,3,5
"C1H3orf38",207,418,270,255,166,341,122,89,41,82,39,33,23,16,7
"CPA3",1,1,0,0,1,0,0,11,0,0,0,0,0,0,1
"ENSBTAG00000064472",33,81,40,51,110,57,13,12,9,10,7,4,4,3,0
"EPHA6",3,9,3,1,5,4,3,1,0,1,1,1,0,0,0
"TSC22D2",92,216,80,82,211,84,55,29,28,27,21,10,10,1,6
"ENSBTAG00000045974",1,2,5,2,2,5,4,2,0,1,0,1,0,0,0
"PFN2",1,0,5,3,4,15,1,1,1,0,0,6,0,0,0
"RNF13",455,875,373,358,513,314,240,171,86,95,101,59,39,10,11
"ENSBTAG00000063711",7,18,12,10,9,13,6,2,3,3,4,0,0,0,0
"P2RY1",8,6,11,1,4,0,1,14,2,30,0,0,1,0,48
"ARL13B",83,149,172,107,82,130,39,61,19,19,30,23,6,1,4
"PLSCR2",323,626,204,218,153,265,142,84,48,77,45,27,32,2,7
"ENSBTAG00000061016",22,41,36,31,14,125,10,12,3,10,7,2,4,0,0
"PLSCR1",11,32,11,18,15,12,8,6,2,3,1,0,3,2,0
"ENSBTAG00000034182",64,129,103,67,29,182,12,38,14,75,17,15,12,4,2
"MBNL1",1951,3218,1464,1224,2145,973,915,615,427,353,343,169,99,18,65
"NSUN3",113,222,192,145,178,132,76,56,17,25,30,16,6,1,0
"SUCNR1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
"ENSBTAG00000056343",7,17,17,5,7,2,4,3,6,3,2,2,1,3,0
"ENSBTAG00000057054",1,4,3,3,11,3,1,4,2,1,1,0,0,0,0
"CP",4,10,6,5,8,4,5,3,2,2,0,2,0,0,1
"KPNA4",301,759,323,326,411,305,234,162,73,109,66,48,38,7,8
"NMD3",120,270,150,161,126,153,106,71,32,42,24,22,10,3,9
"LEKR1",472,926,230,297,174,142,134,61,68,77,101,31,36,2,9
"TIPARP",408,870,358,331,308,353,160,103,68,120,79,53,25,27,15
"SSR3",1111,1667,599,679,295,832,470,491,163,382,170,150,131,125,31
"KCNAB1",9,20,28,12,23,17,2,9,4,3,1,0,1,0,0
"MFSD1",129,227,110,73,77,161,61,54,23,52,20,16,6,3,4
"RARRES1",1,0,13,2,3,33,0,0,2,1,0,3,0,0,0
"TRIM59",264,607,246,380,138,259,199,114,54,90,39,32,36,2,4
"SMC4",354,888,765,295,523,673,230,188,82,145,44,49,156,7,13
"IFT80",84,213,197,84,265,298,54,32,27,48,13,6,18,3,3
"PPM1L",1,11,4,4,25,3,7,4,0,2,3,2,0,0,0
"ENSBTAG00000056523",4,5,4,2,5,3,5,2,0,1,0,0,1,0,0
"GFM1",83,116,100,75,75,88,56,42,12,25,17,13,17,2,3
"LXN",75,181,38,35,14,102,26,23,9,19,12,13,43,2,2
"DHX36",405,915,666,535,547,508,281,210,86,153,89,84,41,7,9
"ARHGEF26",3,7,7,4,12,4,3,0,3,0,1,2,0,0,1
"GMPS",627,1167,450,431,492,365,308,203,136,166,102,61,101,18,16
"SLC33A1",161,308,135,138,118,118,99,74,33,61,35,21,13,4,4
"C1H3orf33",19,48,49,19,36,64,9,10,3,6,5,2,5,1,0
"CCNL1",1431,2529,1796,1493,1386,1197,755,566,275,427,232,130,77,36,30
"MSL2",101,231,95,94,238,104,73,39,27,34,16,12,6,4,3
"PPP2R3A",351,826,52,33,233,116,98,10,47,19,73,14,24,11,6
"ENSBTAG00000049656",4,11,3,4,3,0,0,0,0,4,1,0,2,0,0
"NCK1",744,1390,1010,812,459,730,452,345,144,211,119,43,48,13,32
"SLC35G2",1,5,7,7,4,35,1,1,0,0,0,0,1,1,0
"RNF7",470,724,450,374,154,512,274,220,73,131,84,73,25,11,13
"RASA2",162,384,387,392,513,216,140,142,53,100,28,33,10,10,8
"ZBTB38",759,1432,168,342,415,194,403,275,122,235,135,53,39,23,20
"ENSBTAG00000052570",218,464,424,241,270,242,119,171,45,68,32,38,33,4,12
"PXYLP1",29,60,2,4,13,6,6,3,6,2,15,0,4,0,0
"MLF1",0,5,2,9,21,5,4,0,0,1,3,1,0,1,0
"ENSBTAG00000046738",3,12,5,4,1,4,4,1,0,2,1,3,0,0,0
"U2SURP",1157,2088,1568,1132,1055,1017,632,557,252,368,239,170,102,18,36
"RSRC1",527,1091,630,564,792,516,311,225,133,135,119,76,72,15,18
"TRPC1",9,29,31,58,55,115,4,6,3,10,6,7,3,0,2
"ENSBTAG00000063974",20,43,10,14,3,15,6,4,1,8,5,0,1,0,1
"ENSBTAG00000047341",3,5,3,1,0,2,1,4,0,0,1,0,1,0,0
"ATR",73,213,124,103,204,104,50,43,32,15,26,16,11,0,4
"ENSBTAG00000022275",271,380,109,147,31,73,72,52,45,67,60,23,15,20,10
"RAP2B",1645,2756,870,1015,562,721,944,587,211,333,278,190,104,18,37
"GRAMD1C",278,543,146,153,160,130,85,52,32,28,25,18,10,1,8
"ENSBTAG00000057383",6,11,4,3,2,9,3,2,0,0,1,1,0,0,0
"XRN1",662,1333,791,674,752,495,391,294,144,222,117,78,60,11,21
"ZDHHC23",28,61,65,76,67,44,33,14,12,16,1,3,2,1,1
"CCDC191",31,67,53,43,59,61,25,21,9,7,4,5,7,0,4
"ENSBTAG00000024623",3,4,2,1,0,3,2,0,0,0,0,0,0,0,0
"ENSBTAG00000055730",10,26,16,12,56,8,6,1,3,4,4,2,1,0,0
"GK5",45,83,24,26,18,35,35,14,16,12,5,8,7,1,1
"QTRT2",46,88,98,84,69,59,39,19,14,27,7,11,7,3,1
"TFDP2",265,467,449,228,284,699,62,65,48,62,67,48,35,2,28
"IFT57",201,402,144,185,82,185,166,65,39,63,34,15,13,6,7
"ATP1B3",467,802,233,238,190,352,285,155,57,147,103,67,80,12,17
"SLC25A36",241,592,258,311,363,352,136,97,72,76,47,30,21,5,6
"ENSBTAG00000062767",0,3,2,3,4,6,3,1,2,0,0,0,0,0,0
