"Dims","Resolution","VarianceExplained","SilhouetteScore","NumberOfClusters"
"dims15",0.1,0.745051613458694,0.200397051156766,10
"dims15",0.2,0.745051613458694,0.255136127686084,11
"dims15",0.3,0.745051613458694,0.347289164192127,12
"dims15",0.4,0.745051613458694,0.348281060290302,12
"dims15",0.5,0.745051613458694,0.343290377932221,15
"dims20",0.1,0.800996041917745,0.298238301850901,11
"dims20",0.2,0.800996041917745,0.29484924093998,12
"dims20",0.3,0.800996041917745,0.38942795921383,13
"dims20",0.4,0.800996041917745,0.395088127704055,14
"dims20",0.5,0.800996041917745,0.310636203396876,16
"dims25",0.1,0.84668163807809,0.321610666698698,11
"dims25",0.2,0.84668163807809,0.349684743646976,12
"dims25",0.3,0.84668163807809,0.387292195777064,15
"dims25",0.4,0.84668163807809,0.327827042215169,17
"dims25",0.5,0.84668163807809,0.323050039604661,18
