"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,12.830635048859,0.674,0.338,0,"0","CTSW"
0,12.410336267204,0.638,0.368,0,"0","ENSBTAG00000025398"
0,9.94324483026431,0.714,0.31,0,"0","LGALS9"
0,8.49683666865983,0.691,0.192,0,"0","BOLA-DRA"
0,8.07581831603893,0.672,0.26,0,"0","ENSBTAG00000011019"
0,7.3809184984851,0.469,0.213,0,"0","LITAF"
0,6.40371499150428,0.676,0.283,0,"0","BLA-DQB"
0,5.88048755545089,0.504,0.189,0,"0","SYK"
0,5.84546843849509,0.751,0.285,0,"0","IL2RB"
0,4.69938905860849,0.382,0.064,0,"0","ENSBTAG00000045880"
0,4.32730658273489,0.532,0.19,0,"0","TSPAN4"
0,3.7184343418049,0.591,0.379,0,"0","UBD"
0,3.5856392627284,0.554,0.28,0,"0","ENSBTAG00000054938"
0,2.88468018821395,0.609,0.146,0,"0","NKG2A"
0,2.69919099178564,0.765,0.439,0,"0","RPLP1"
0,2.51867944816229,0.66,0.315,0,"0","WARS1"
0,2.44225750826814,0.895,0.296,0,"0","FCER1G"
0,2.37070065013791,0.629,0.298,0,"0","SH2D1A"
0,2.17598856964274,0.547,0.297,0,"0","ARPC5L"
0,1.96429007991204,0.489,0.229,0,"0","TXK"
0,1.73573209638673,0.781,0.298,0,"0","HOPX"
0,1.73536213817502,0.513,0.203,0,"0","ENSBTAG00000001143"
0,1.55256840854861,0.663,0.439,0,"0","EEF1A1"
0,1.49407180591472,0.705,0.204,0,"0","C5H12orf75"
0,1.40395725282055,0.606,0.425,0,"0","RACK1"
0,1.39638896806862,0.53,0.146,0,"0","KLRF1"
0,1.32916052561331,0.654,0.39,0,"0","PPIB"
0,1.32075657215,0.714,0.446,0,"0","RPL10"
0,1.25844462304247,0.616,0.422,0,"0","ENSBTAG00000005315"
0,1.23999883423626,0.584,0.397,0,"0","PSMB8"
0,1.0548458127705,0.527,0.217,0,"0","ST6GALNAC2"
0,1.04500751781384,0.637,0.446,0,"0","RPLP0"
0,1.03079741256381,0.685,0.404,0,"0","MYL12A"
0,0.987765583775118,0.684,0.459,0,"0","RPS19"
0,0.927087673828791,0.828,0.392,0,"0","ENSBTAG00000020116"
0,0.916851486694846,0.49,0.16,0,"0","FGR"
0,0.885854275612168,0.661,0.253,0,"0","IFI6"
0,0.767048338909307,0.695,0.28,0,"0","NKG7"
0,0.748097731139215,0.447,0.167,0,"0","KIR2DL5A"
1.20227182302963e-291,1.71139163661959,0.596,0.427,3.6068154690889e-288,"0","RPL3"
3.52317501170412e-278,5.04064317229548,0.402,0.201,1.05695250351124e-274,"0","SYNE1"
3.37857990625352e-271,1.80246771091838,0.553,0.383,1.01357397187606e-267,"0","LAPTM5"
2.1358171155903e-265,0.945405709566173,0.497,0.242,6.40745134677089e-262,"0","ENSBTAG00000049297"
1.00802950541254e-261,0.363970319379416,0.526,0.334,3.02408851623762e-258,"0","KLF2"
9.09183757595347e-261,2.34391747727342,0.573,0.409,2.72755127278604e-257,"0","ATP5MC2"
2.33890727706187e-256,4.87492856804613,0.366,0.13,7.01672183118562e-253,"0","AKAP5"
4.0864429045493e-248,2.18723360380575,0.482,0.224,1.22593287136479e-244,"0","PRR5"
6.53998345999408e-233,0.895759980230103,0.517,0.329,1.96199503799822e-229,"0","ENSBTAG00000037510"
8.7242109235386e-232,1.17844505170177,0.392,0.19,2.61726327706158e-228,"0","EFHD2"
7.79994897743626e-225,0.661394952739268,0.137,0.283,2.33998469323088e-221,"0","LAT"
1.23692679033004e-224,1.24167427055665,0.549,0.397,3.71078037099012e-221,"0","RPL36A"
4.05145520063803e-218,0.626448211736869,0.599,0.456,1.21543656019141e-214,"0","RPL37"
1.81914637590447e-212,0.331799971532292,0.426,0.166,5.4574391277134e-209,"0","TMED3"
4.86070915464999e-211,40.9079507826494,0.415,0.15,1.458212746395e-207,"0","ENSBTAG00000009943"
3.45652656866384e-205,1.1590494018691,0.548,0.396,1.03695797059915e-201,"0","PSME1"
5.57966465254408e-203,1.05891309052674,0.463,0.242,1.67389939576322e-199,"0","NUCB2"
2.37238717096086e-202,1.00595049221297,0.53,0.384,7.11716151288259e-199,"0","PFDN5"
4.05548153737509e-196,1.21309243085888,0.515,0.326,1.21664446121253e-192,"0","UNC119"
7.15582216542547e-193,0.723458410488447,0.422,0.206,2.14674664962764e-189,"0","SYPL1"
7.72392598759895e-187,5.03479761197573,0.368,0.199,2.31717779627968e-183,"0","SLA2"
2.42777462127181e-186,5.34298989868454,0.13,0.302,7.28332386381542e-183,"0","ITGB7"
1.47524625932103e-185,2.3253739068918,0.353,0.132,4.4257387779631e-182,"0","PTPRF"
4.59236552349338e-177,5.62855812519576,0.54,0.399,1.37770965704801e-173,"0","ENSBTAG00000040602"
1.08611217724627e-176,6.42382689076762,0.264,0.355,3.25833653173881e-173,"0","PRDX6"
1.29823328578779e-168,0.527719359588928,0.252,0.38,3.89469985736338e-165,"0","LY6E"
6.1588236824025e-168,0.360589447216939,0.529,0.376,1.84764710472075e-164,"0","CD37"
2.49232222492038e-167,2.02633855359491,0.516,0.368,7.47696667476114e-164,"0","HCST"
1.83991071931133e-165,5.05973612189239,0.361,0.098,5.51973215793398e-162,"0","PDZK1IP1"
2.62525879200284e-165,1.9119129530066,0.397,0.231,7.87577637600851e-162,"0","SPN"
3.5157560079179e-163,0.832950534976558,0.338,0.112,1.05472680237537e-159,"0","ENSBTAG00000050417"
6.08971306423088e-162,2.38017312216157,0.363,0.163,1.82691391926926e-158,"0","CSGALNACT2"
3.26198862961884e-159,1.92000138480332,0.286,0.42,9.78596588885652e-156,"0","CNN2"
7.4078225634521e-159,3.91244330628809,0.42,0.251,2.22234676903563e-155,"0","GABARAPL1"
7.29201719916298e-157,1.13365779553712,0.533,0.397,2.18760515974889e-153,"0","RPL17.1"
1.29304766050357e-156,8.81732547226941,0.429,0.214,3.87914298151072e-153,"0","LPGAT1"
1.89318957333625e-156,10.4111233796616,0.348,0.129,5.67956872000876e-153,"0","GAS6"
1.06418827676914e-154,9.04275545710052,0.264,0.313,3.19256483030742e-151,"0","RASGRP2"
2.70651465574147e-153,0.777094517145797,0.526,0.396,8.11954396722443e-150,"0","CTSD"
8.44289741277414e-152,0.675816122708642,0.418,0.269,2.53286922383224e-148,"0","F2R"
4.93607226848452e-151,0.859647842329861,0.551,0.436,1.48082168054536e-147,"0","RPSA"
1.28819893043733e-131,0.693908557995111,0.481,0.305,3.86459679131198e-128,"0","VAMP5"
5.00227536072711e-124,0.439155754527121,0.557,0.451,1.50068260821813e-120,"0","RPS14"
1.32245635117639e-122,2.79398495678219,0.342,0.222,3.96736905352916e-119,"0","EHD1"
2.51177706483489e-119,3.62127267065368,0.359,0.169,7.53533119450466e-116,"0","LAT2"
1.29373645725332e-118,0.323405826328438,0.289,0.36,3.88120937175996e-115,"0","ARPC5"
1.47097427754956e-116,1.47704476651269,0.183,0.26,4.41292283264869e-113,"0","GSTP1"
9.52657246948319e-113,1.2259738061285,0.349,0.124,2.85797174084496e-109,"0","SPATS2L"
3.62264101826007e-108,5.8697836985098,0.221,0.292,1.08679230547802e-104,"0","SMC5"
1.33555208115872e-106,0.433230473235809,0.522,0.396,4.00665624347616e-103,"0","PSMB9"
2.37744707329032e-103,0.333372429233698,0.552,0.459,7.13234121987095e-100,"0","RPL27A"
1.51451655841025e-101,0.752397569831165,0.514,0.413,4.54354967523075e-98,"0","RPL21"
6.38829197008617e-93,0.969951234922361,0.382,0.227,1.91648759102585e-89,"0","PITPNB"
8.27424501076792e-90,3.73932296585846,0.354,0.198,2.48227350323038e-86,"0","SLAMF7"
2.97046793485438e-87,6.69555391471472,0.343,0.171,8.91140380456315e-84,"0","DTNB"
2.70583412564684e-86,1.9779745506381,0.374,0.272,8.11750237694052e-83,"0","ACTN4"
6.3944784660169e-86,3.06889207445426,0.515,0.422,1.91834353980507e-82,"0","ARPC2"
3.92315425113501e-85,5.24779767729874,0.327,0.169,1.1769462753405e-81,"0","ARHGAP9"
3.89833046429176e-84,5.48954761944744,0.45,0.37,1.16949913928753e-80,"0","NCR3"
8.72355070335309e-84,8.75183190294972,0.36,0.2,2.61706521100593e-80,"0","ENSBTAG00000060564"
1.61933700523223e-83,0.374609475006412,0.383,0.269,4.85801101569669e-80,"0","CST7"
1.74203242299088e-82,1.1293788373461,0.479,0.37,5.22609726897263e-79,"0","C5H12orf57"
3.02546454509101e-77,0.944125694903211,0.483,0.39,9.07639363527304e-74,"0","NCL"
7.24103761307135e-76,16.3094832898552,0.327,0.15,2.1723112839214e-72,"0","ACSL1"
2.24532787285076e-74,1.18699814095955,0.317,0.12,6.73598361855228e-71,"0","SH2D1B"
3.52803641837563e-72,8.8166033778873,0.302,0.153,1.05841092551269e-68,"0","FER"
5.64217474105469e-70,16.0742478895365,0.251,0.109,1.69265242231641e-66,"0","ENSBTAG00000068764"
1.06543785178135e-69,0.265130534352321,0.532,0.461,3.19631355534405e-66,"0","FAU"
5.63346534210162e-68,0.680949822218547,0.3,0.175,1.69003960263049e-64,"0","ARFGAP3"
1.63938554197095e-65,5.34464698364521,0.418,0.276,4.91815662591285e-62,"0","LAMP3"
2.30066859791972e-60,0.764139059684249,0.284,0.312,6.90200579375916e-57,"0","SF1"
2.63783087672095e-59,2.13001936712874,0.461,0.368,7.91349263016284e-56,"0","NSA2"
3.35431334708665e-58,7.56511373533941,0.229,0.28,1.00629400412599e-54,"0","SNURF"
4.16850821536211e-58,2.719984569912,0.288,0.205,1.25055246460863e-54,"0","TAGAP"
2.64485529297587e-57,14.9137419497447,0.233,0.284,7.93456587892762e-54,"0","USP15"
8.43493518528138e-57,5.0896574793356,0.307,0.352,2.53048055558442e-53,"0","DDX21"
1.07959891350524e-56,0.926859822198722,0.282,0.363,3.23879674051573e-53,"0","ZC3HAV1"
2.53610999423371e-54,2.39012483907049,0.29,0.131,7.60832998270113e-51,"0","LEKR1"
1.18759822007529e-53,6.2853379680711,0.258,0.295,3.56279466022586e-50,"0","DOCK8"
