"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.52436278755362,0.976,0.504,0,"0","CCL5"
0,1.52396220632865,0.317,0.11,0,"0","NKG2A"
0,1.37234959979456,0.554,0.237,0,"0","IFI6"
0,1.36245255586105,0.299,0.116,0,"0","NCR1"
0,1.34421997707612,0.922,0.428,0,"0","FCER1G"
0,1.32343316966569,0.411,0.169,0,"0","C5H12orf75"
0,1.3112216076059,0.476,0.231,0,"0","ENSBTAG00000053497"
0,1.17715081078221,0.887,0.396,0,"0","IDO1"
0,1.1413044918347,0.42,0.198,0,"0","KLRD1"
0,1.13632720506753,0.696,0.365,0,"0","HOPX"
0,1.10304313041879,0.585,0.294,0,"0","NKG7"
0,1.10160922530037,0.514,0.217,0,"0","ENSBTAG00000051183"
0,0.964547073486182,0.525,0.271,0,"0","PRF1"
0,0.571175790868366,1,0.984,0,"0","RPLP1"
0,0.510406691834049,0.975,0.882,0,"0","RPL24"
0,0.45009399601858,1,0.995,0,"0","ENSBTAG00000002069"
0,0.43742109568907,0.995,0.962,0,"0","EEF1A1"
0,0.383504874659996,1,0.973,0,"0","RPL37"
0,0.373997947498989,0.999,0.969,0,"0","TMSB10"
3.08018889105112e-302,0.442425425090027,0.985,0.912,5.3207182904017e-298,"0","RPL28"
1.31767927403869e-298,1.20768890938512,0.475,0.265,2.27615917797444e-294,"0","ENSBTAG00000047449"
2.58299953983143e-296,1.34392516756133,0.301,0.122,4.46187340510481e-292,"0","DTNBP1"
6.63224145525758e-269,1.11360099661588,0.34,0.155,1.14565338898119e-264,"0","KLRI1"
5.09752480826053e-256,0.337226570959779,0.999,0.967,8.80546435378924e-252,"0","RPS19"
4.32936959738492e-248,0.598998220233019,0.737,0.506,7.47855304252271e-244,"0","CTSW"
6.59501295865869e-243,0.937804514588828,0.445,0.246,1.1392225384787e-238,"0","IL2RB"
7.35827529735238e-225,1.16940478773009,0.287,0.13,1.27106847486465e-220,"0","TSPAN4"
8.62093199485294e-222,0.883765934697538,0.418,0.228,1.4891797927909e-217,"0","ENSBTAG00000030426"
1.02504234661858e-213,0.302979760695904,0.999,0.967,1.77065814954894e-209,"0","FAU"
5.75967787679964e-211,0.812127890864165,0.528,0.34,9.9492675643837e-207,"0","LGALS9"
2.0783786357652e-209,0.330875017870069,0.996,0.949,3.5901912554208e-205,"0","RPS9"
1.82406307880776e-201,0.93234859383808,0.379,0.207,3.15088656233253e-197,"0","ENSBTAG00000011019"
1.29417477002616e-199,0.83357987274467,0.543,0.37,2.23555749774319e-195,"0","ENSBTAG00000056582"
4.15303712452527e-199,0.527431586902866,0.815,0.679,7.17395632890495e-195,"0","UBD"
4.46152927985376e-195,0.272883139223742,1,0.977,7.70684567801939e-191,"0","RPS12"
8.72149408143943e-194,0.317641556754057,0.995,0.947,1.50655088762785e-189,"0","RPL29"
9.71613661528624e-186,0.993687949270256,0.336,0.18,1.67836543892454e-181,"0","BLA-DQB"
7.47060122748387e-174,0.315166706906057,0.998,0.974,1.29047165603556e-169,"0","RPL10"
6.21881287186177e-173,0.999739164738603,0.291,0.148,1.0742377354854e-168,"0","ST6GALNAC2"
2.00518174146558e-172,0.512136911815613,0.762,0.63,3.46375094020765e-168,"0","PPIB"
4.99423853619184e-170,0.733592565018262,0.352,0.192,8.62704764741779e-166,"0","LGALS1"
3.53659553123049e-167,0.73470359052797,0.46,0.291,6.10911512064755e-163,"0","ITGB2"
3.76181657657526e-165,0.286933645499692,0.997,0.957,6.49816195437611e-161,"0","RPL35A"
1.3890148322302e-164,0.282113955111765,0.997,0.962,2.39938422119444e-160,"0","RPLP0"
4.15316457140001e-159,0.265274887874093,0.997,0.95,7.17417648063637e-155,"0","RPL30"
4.82662094624339e-155,0.264585366953237,0.997,0.958,8.33750502254083e-151,"0","RPL14"
