"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.52436278755362,0.976,0.504,0,"0","CCL5"
0,1.52396220632865,0.317,0.11,0,"0","NKG2A"
0,1.37234959979456,0.554,0.237,0,"0","IFI6"
0,1.36245255586105,0.299,0.116,0,"0","NCR1"
0,1.34421997707612,0.922,0.428,0,"0","FCER1G"
2.58299953983143e-296,1.34392516756133,0.301,0.122,4.46187340510481e-292,"0","DTNBP1"
0,1.32343316966569,0.411,0.169,0,"0","C5H12orf75"
0,1.3112216076059,0.476,0.231,0,"0","ENSBTAG00000053497"
1.31767927403869e-298,1.20768890938512,0.475,0.265,2.27615917797444e-294,"0","ENSBTAG00000047449"
0,1.17715081078221,0.887,0.396,0,"0","IDO1"
7.35827529735238e-225,1.16940478773009,0.287,0.13,1.27106847486465e-220,"0","TSPAN4"
0,1.1413044918347,0.42,0.198,0,"0","KLRD1"
0,1.13632720506753,0.696,0.365,0,"0","HOPX"
6.63224145525758e-269,1.11360099661588,0.34,0.155,1.14565338898119e-264,"0","KLRI1"
0,1.10304313041879,0.585,0.294,0,"0","NKG7"
0,1.10160922530037,0.514,0.217,0,"0","ENSBTAG00000051183"
6.21881287186177e-173,0.999739164738603,0.291,0.148,1.0742377354854e-168,"0","ST6GALNAC2"
9.71613661528624e-186,0.993687949270256,0.336,0.18,1.67836543892454e-181,"0","BLA-DQB"
0,0.964547073486182,0.525,0.271,0,"0","PRF1"
9.84485649187525e-153,0.959427193039296,0.288,0.154,1.70060051040653e-148,"0","CMC1"
0,1.9064112951802,0.372,0.101,0,"1","NKG2A"
0,1.90569530755737,0.656,0.19,0,"1","ENSBTAG00000051183"
0,1.72239606235971,0.433,0.137,0,"1","KLRI1"
0,1.71734138833564,0.943,0.388,0,"1","IDO1"
0,1.70258025303237,0.252,0.076,0,"1","GZMA"
0,1.67205232443892,0.342,0.109,0,"1","NCR1"
0,1.66997231487688,0.279,0.088,0,"1","CX3CR1"
0,1.60400212242931,0.267,0.085,0,"1","KLRF1"
0,1.60122307053148,0.462,0.161,0,"1","C5H12orf75"
0,1.52123188317525,0.974,0.508,0,"1","CCL5"
3.22754624770877e-301,1.47637100482009,0.25,0.088,5.57526338829213e-297,"1","FGR"
0,1.47573005812632,0.409,0.182,0,"1","LGALS1"
0,1.42547346538862,0.586,0.233,0,"1","IFI6"
0,1.4028123276464,0.423,0.143,0,"1","ZEB2"
3.7947325224741e-98,1.36213869234779,0.379,0.286,6.55502095932175e-94,"1","ENSBTAG00000047449"
0,1.36065042614184,0.795,0.347,0,"1","HOPX"
3.13982432045033e-240,1.35613153285325,0.422,0.244,5.42373253114589e-236,"1","ENSBTAG00000053497"
0,1.33377137987513,0.47,0.189,0,"1","KLRD1"
0,1.30789522194643,0.526,0.23,0,"1","IL2RB"
0,1.27208869840093,0.948,0.426,0,"1","FCER1G"
0,4.25852957140194,0.362,0.022,0,"2","DAPL1"
0,2.27173107804046,0.289,0.062,0,"2","RCAN3"
0,2.23589462028625,0.506,0.124,0,"2","ENSBTAG00000064514"
0,1.85164587496676,0.491,0.143,0,"2","SELL"
0,1.84693258683931,0.353,0.107,0,"2","CXCR4"
0,1.56638109234654,0.294,0.097,0,"2","CD5"
5.58110485542607e-236,1.32581562029804,0.311,0.132,9.64080052726299e-232,"2","IFITM3.1"
2.51784068716408e-288,1.22822146128851,0.332,0.128,4.34931800300724e-284,"2","ABLIM1"
0,1.18328598766635,0.418,0.156,0,"2","IL7R"
2.64763676841799e-163,1.17518659129413,0.293,0.143,4.57352775376523e-159,"2","ID2"
8.2843991184043e-208,1.17390000062815,0.277,0.115,1.43104710371316e-203,"2","ENSBTAG00000067632"
3.32311381485926e-188,1.15743701238166,0.274,0.119,5.74034680378788e-184,"2","FKBP11"
