"","Animal25","Animal26","Animal27","Animal28","Animal51","Animal52"
"ENSBTAG00000035855",1.66095554490015,0.175495629732996,0.303844751956176,4.41253280834767,0,0
"HMGN2",3.60873769523059,4.09446904297213,5.04376554219582,3.8865531731332,0,0
"ENSBTAG00000057590",10.8762428661326,11.9771826759618,11.1515260513892,26.2829641389264,0,0
"PTMA",22.2647064721873,24.6131910478972,27.3285795872194,19.9802667930329,0.0428580279121652,0.0206930151907665
"ENSBTAG00000005315",16.2797035085286,14.3015923257905,17.3771068324724,14.171024729397,0.0873443903924936,0.0831717957407245
"CXCR4",0.164979335554862,0.740667109803324,0.131997003419593,2.11956202823702,0.315491378151014,0.222064371012275
"ENSBTAG00000013866",70.2786676254353,62.7279383656916,66.0777253562464,62.8958379016026,0,0
"KLRI1",3.29720559754132,1.65797185006119,1.51533839669724,1.30064942275255,0,0
"C5H12orf57",4.2431787231818,3.8494927813302,6.27075949857674,3.86835875834747,0,0
"ERP27",13.6090822138474,12.9814315670212,11.9534002475371,11.6944979048296,0.0178158458950572,0.0085437021236319
"PHETA2",2.59935150759954,2.13147534561571,3.92702695650587,2.23443787199281,0.0252513033021378,0.0232329748801464
"ENSBTAG00000062403",1.26122733353272,1.10079551319314,0.927249359207012,3.86176620749886,0,0
"ENSBTAG00000047919",2.79917108412159,5.23293775585279,2.17564976111737,6.33507074410932,0,0
"ENSBTAG00000057732",8.46735028758253,23.9516295616013,0.763012345446185,5.79824802220968,0,0
"CLNK",1.97540553169655,0.820054479046062,0.979870368937797,0.755009119286802,0,0
"ENSBTAG00000058114",0.944106602624844,1.09873261770608,2.49910698652783,0.183276288440684,0,0
"CAMK4",0.713158544807799,1.27546934717591,0.302153938062024,2.17983593446442,0.217751531714352,0.179731563350446
"HSD11B1L",19.0532425578817,16.0994976628704,27.0367960186144,19.3274784161004,0.0103836928701618,0.0119911398555826
"NPAS2",0.00521790699152908,0.0121996313125108,0.00294430440842021,0.0199526874224659,55.3150800544256,43.6828092798142
"RPL31",64.3856611094787,69.3260552583329,91.541339608469,64.0902677125979,0,0
"ZFP36L2",4.23745806396795,3.25045949381457,4.04052419176758,6.98480395590741,33.5424010727975,55.1673353530577
"RHOB",2.75604833198197,0.624168428272483,0.890877343562842,1.70054695111877,0,0
"ENSBTAG00000065216",1.95825263361062,1.87819523111456,2.8420826324353,1.66782763921276,0,0
"BBLN",2.57532634604018,2.30627973132526,3.25294713375798,1.70674448994378,0,0
"CD8B",0.533814211538673,1.60834472429617,0.411730662298575,1.7267643485374,0.163526187854456,0.125683114527333
"ENSBTAG00000053497",7.20459954929112,6.77524857239098,58.1090811168278,11.8523155681394,0,0
"BACH2",1.69837476056056,2.36368463827328,0.965045209953569,4.36685978917059,0.227096632869168,0.332767452395467
"ENSBTAG00000061837",0.85954493934082,0.336177047638589,0.355050181928661,1.18102382337722,0,0
"KCNQ5",1.30318195586978,2.78858822871271,0.703130886684527,4.2839472963501,0.0122577335394094,0.0101644464145706
"RPS29",26.9153379606749,25.0647036929014,35.5729311923569,21.33012744555,0.0129353392290865,0.00603220419959584
"ARF6",4.25760055218814,1.61482348476887,1.54128955068805,4.07968353124056,0.316133025399023,0.359860392461562
"ENSBTAG00000064123",5.12457072623277,4.89374455704405,2.41134233193672,1.98821849891583,0,0
"ENSBTAG00000062861",2.50892693352581,2.82952555502474,2.01099480045932,2.04336950019357,0,0
"PDE3B",0.301987233208777,0.953599754042677,0.310602364158145,1.82010245699392,0.327390021539089,0.253808437400467
