p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,1.52436278755362,0.976,0.504,0.0,0,CCL5
0.0,1.52396220632865,0.317,0.11,0.0,0,NKG2A
0.0,1.37234959979456,0.554,0.237,0.0,0,IFI6
0.0,1.36245255586105,0.299,0.116,0.0,0,NCR1
0.0,1.34421997707612,0.922,0.428,0.0,0,FCER1G
2.5829995398314303e-296,1.34392516756133,0.301,0.122,4.46187340510481e-292,0,DTNBP1
0.0,1.32343316966569,0.411,0.169,0.0,0,C5H12orf75
0.0,1.3112216076059,0.476,0.231,0.0,0,ENSBTAG00000053497
1.31767927403869e-298,1.20768890938512,0.475,0.265,2.27615917797444e-294,0,ENSBTAG00000047449
0.0,1.17715081078221,0.887,0.396,0.0,0,IDO1
0.0,1.9064112951802,0.372,0.101,0.0,1,NKG2A
0.0,1.90569530755737,0.656,0.19,0.0,1,ENSBTAG00000051183
0.0,1.72239606235971,0.433,0.137,0.0,1,KLRI1
0.0,1.71734138833564,0.943,0.388,0.0,1,IDO1
0.0,1.70258025303237,0.252,0.076,0.0,1,GZMA
0.0,1.67205232443892,0.342,0.109,0.0,1,NCR1
0.0,1.66997231487688,0.279,0.088,0.0,1,CX3CR1
0.0,1.60400212242931,0.267,0.085,0.0,1,KLRF1
0.0,1.60122307053148,0.462,0.161,0.0,1,C5H12orf75
0.0,1.52123188317525,0.974,0.508,0.0,1,CCL5
0.0,4.29479900213088,0.488,0.035,0.0,10,ENSBTAG00000064910
1.33685417770079e-294,3.13939908905868,0.278,0.033,2.30928190656034e-290,10,MARCKS
2.89815506305836e-164,2.13436913498416,0.364,0.089,5.00627305592701e-160,10,PSTPIP2
2.80741548047909e-146,2.08626147606115,0.393,0.111,4.84952950097958e-142,10,ENSBTAG00000009943
3.8342994966029104e-112,1.89759984920209,0.332,0.098,6.6233689504318596e-108,10,A4GALT
7.606682334494e-73,1.70226466358944,0.266,0.088,1.31397830646049e-68,10,ARFGAP3
8.90997236743965e-119,1.66916887199068,0.438,0.151,1.5391086267515199e-114,10,TSPAN4
8.814615639299411e-61,1.5913179382579,0.262,0.094,1.52263670553258e-56,10,FCGR3A
1.01254059647045e-59,1.4773944631032,0.29,0.111,1.7490626263430497e-55,10,FGR
4.20855412223533e-132,1.38950786165134,0.655,0.284,7.269856390749319e-128,10,IFI6
0.0,8.95643419239405,0.706,0.002,0.0,11,ENSBTAG00000050953
0.0,8.7632557191182,0.857,0.003,0.0,11,RHEX
0.0,8.63062364277873,0.282,0.001,0.0,11,WC1
0.0,5.85552291972576,0.517,0.01,0.0,11,BLK
0.0,5.85332796446033,0.39,0.008,0.0,11,CD163L1
0.0,5.32911641650868,0.36,0.009,0.0,11,CXCL12
1.08006956347679e-300,4.01183279038592,0.25,0.019,1.86571216394981e-296,11,ENSBTAG00000069133
0.0,3.61569325201375,0.307,0.026,0.0,11,ADIRF
0.0,3.34558796379468,0.447,0.049,0.0,11,NPDC1
3.13819739383904e-266,3.09495881360779,0.41,0.057,5.42092217811756e-262,11,YBX3
0.0,8.42378601669456,0.324,0.001,0.0,12,RRM2
0.0,8.32852658203848,0.393,0.002,0.0,12,PCLAF
0.0,7.53432249284423,0.374,0.002,0.0,12,UHRF1
0.0,6.65086459170083,0.307,0.004,0.0,12,CENPW
0.0,6.54898015744289,0.283,0.004,0.0,12,NUSAP1
0.0,6.50885810202063,0.307,0.004,0.0,12,SPC24
0.0,6.24812860969008,0.287,0.005,0.0,12,UBE2C
0.0,5.28855920271975,0.257,0.008,0.0,12,BIRC5
0.0,5.00693137671502,0.298,0.022,0.0,12,H1-5
0.0,4.58166050327062,0.415,0.023,0.0,12,MKI67
0.0,12.6321428419057,0.401,0.002,0.0,13,ENSBTAG00000046076
0.0,12.5900391437503,0.373,0.006,0.0,13,ENSBTAG00000052233
0.0,12.5640041198323,0.355,0.004,0.0,13,ENSBTAG00000047529
0.0,11.8893481244994,0.313,0.002,0.0,13,ENSBTAG00000050088
0.0,11.6000782411603,0.636,0.005,0.0,13,ENSBTAG00000053508
0.0,11.4817146705785,0.793,0.001,0.0,13,PROB1
0.0,11.475653448362,0.378,0.002,0.0,13,ENSBTAG00000048268
0.0,11.3475779979269,0.585,0.001,0.0,13,ENSBTAG00000048832
0.0,10.4944136086469,0.29,0.004,0.0,13,ENSBTAG00000058549
0.0,10.3942090832607,0.276,0.003,0.0,13,ENSBTAG00000054947
0.0,10.5619723527025,0.382,0.001,0.0,14,SLC40A1
0.0,10.4949093098938,0.623,0.001,0.0,14,TUBB1
0.0,10.4930454628896,0.41,0.001,0.0,14,LY6G6C
0.0,10.3643265937017,0.274,0.0,0.0,14,ENSBTAG00000050158
0.0,10.0252021100886,0.66,0.002,0.0,14,MPIG6B
0.0,9.75159996746917,0.656,0.003,0.0,14,TAC3
0.0,9.71962200928868,0.344,0.001,0.0,14,PDLIM1
0.0,9.63205078843863,0.25,0.001,0.0,14,SRXN1
0.0,9.62916775624116,0.972,0.006,0.0,14,ENSBTAG00000049782
0.0,9.62364412798734,0.976,0.009,0.0,14,ENSBTAG00000011961
0.0,4.25852957140194,0.362,0.022,0.0,2,DAPL1
0.0,2.27173107804046,0.289,0.062,0.0,2,RCAN3
0.0,2.23589462028625,0.506,0.124,0.0,2,ENSBTAG00000064514
0.0,1.85164587496676,0.491,0.143,0.0,2,SELL
0.0,1.84693258683931,0.353,0.107,0.0,2,CXCR4
0.0,1.56638109234654,0.294,0.097,0.0,2,CD5
5.581104855426071e-236,1.32581562029804,0.311,0.132,9.640800527262989e-232,2,IFITM3.1
2.5178406871640797e-288,1.22822146128851,0.332,0.128,4.34931800300724e-284,2,ABLIM1
0.0,1.18328598766635,0.418,0.156,0.0,2,IL7R
2.64763676841799e-163,1.17518659129413,0.293,0.143,4.57352775376523e-159,2,ID2
0.0,3.77827673768018,0.364,0.032,0.0,3,NKG2A.1
0.0,3.15210045477723,0.262,0.031,0.0,3,ENSBTAG00000047270
0.0,2.75045539479924,0.454,0.079,0.0,3,CD7
0.0,2.45788519851215,0.275,0.048,0.0,3,GZMM
0.0,1.91598531149596,0.277,0.077,0.0,3,SPRY2
1.75295584847831e-289,1.60999727685053,0.308,0.106,3.02805593266143e-285,3,CDCA7
0.0,1.45443655504876,0.492,0.193,0.0,3,PVRIG
0.0,1.38581633871824,0.424,0.149,0.0,3,CD79A
0.0,1.33216552927479,0.445,0.165,0.0,3,ENSBTAG00000000144
2.88245857058804e-285,1.30628163291261,0.401,0.164,4.97915893483378e-281,3,SELL
0.0,3.72450223325019,0.261,0.035,0.0,4,CERS6
0.0,3.69235200970033,0.358,0.054,0.0,4,PRKCE
0.0,3.63853059619138,0.58,0.15,0.0,4,KCNQ5
0.0,3.48061329496242,0.272,0.038,0.0,4,BCL11B
0.0,3.36514654623223,0.413,0.096,0.0,4,INPP4B
0.0,3.26232856874546,0.624,0.206,0.0,4,FOXP1
0.0,3.2480206304836,0.35,0.071,0.0,4,MAML3
0.0,3.14752767813991,0.534,0.164,0.0,4,LEF1
0.0,3.14370506205703,0.453,0.103,0.0,4,CAMK4
0.0,3.14315414042217,0.71,0.228,0.0,4,AFF3
0.0,7.05412202865391,0.365,0.003,0.0,5,ENSBTAG00000035945
0.0,6.87790568058195,0.528,0.008,0.0,5,TARP
0.0,5.93670029523701,0.258,0.01,0.0,5,ENSBTAG00000069664
0.0,5.82277330366243,0.36,0.011,0.0,5,ENSBTAG00000056585
0.0,5.6017537225603,0.487,0.012,0.0,5,OGN
0.0,5.48132673054833,0.293,0.016,0.0,5,ENSBTAG00000055254
0.0,5.47079130719266,0.514,0.018,0.0,5,MDK
0.0,5.35090698824994,0.264,0.008,0.0,5,IGFBP4
0.0,5.34445124399119,0.27,0.008,0.0,5,FSCN1
0.0,4.7857503642759,0.586,0.034,0.0,5,MARCKSL1
0.0,5.74297536855251,0.375,0.013,0.0,6,ENSBTAG00000010828
0.0,3.11011156520007,0.391,0.051,0.0,6,GZMM
0.0,2.45450633309946,0.364,0.073,0.0,6,CD8A
2.3752243776647297e-302,2.32088425850812,0.263,0.059,4.1029625899780506e-298,6,CEBPD
0.0,2.027747731006,0.448,0.115,0.0,6,CD8B
0.0,2.02518267054255,0.576,0.121,0.0,6,S100A13
0.0,2.02486152679915,0.554,0.165,0.0,6,YWHAQ
1.6323690036300301e-304,1.88277337790573,0.466,0.172,2.81975421687052e-300,6,IL7R
0.0,1.84289884373679,0.462,0.141,0.0,6,CD3D
1.3142440725489698e-270,1.51500704245804,0.587,0.277,2.27022521092109e-266,6,ENSBTAG00000047919
0.0,4.28746051391494,0.371,0.021,0.0,7,CD4
